Nation,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,points,place
FRA,,Silvestre Christian,Gallo Pierre Jean,CVSQ,1,1,2,1,2,1,6,1
FRA,,Buffet Marcel,Rossignol Pascal,CV PARIS,5,3,1,7,1,5,15,2
FRA,,Frédéric Veroul,Veroul Jean Jacques,C N VASSIVIERE,3,4,6,4,4,2,17,3
FRA,,Jean-Baptiste Dupont,Brotschi Xavier,CV PARIS,4,12,3,2,5,4,18,4
FRA,,Fossard Robert,Bonnet Michel,S N BANDOL,2,2,5,3,13,DNF,25,5
FRA,,Chartier Jean Philippe,Thomas Chartier,C Y V PARELOUP,6,8,12,5,6,3,28,6
FRA,,Bleuez Loic,Gresle Thierry,Club Var Mer,7,11,7,6,8,9,37,7
FRA,,Guibbal Pierre,Chartier Simon,C Y V PARELOUP,12,10,11,8,3,6,38,8
FRA,,Guibbal Jean Louis,Guibbal Mathieu,C Y V PARELOUP,14,9,4,12,7,8,40,9
FRA,,Jacques Raguet,Rivaud Jguillaume,C V BORDEAUX C M,13,7,9,9,10,7,42,10
FRA,,Debicki Pierre,Jullian Pascal,C Y V PARELOUP,8,6,8,11,11,11,44,11
FRA,,Niddam Yves,Markt Philippe,Y C BEAULIEU,11,5,13,10,9,OCS,48,12
FRA,,Leveque Michel,Leveque Catherine,C Y V PARELOUP,15,17,10,13,12,10,60,13
FRA,,Bernard Dugrip,Tisserand Mathieu,C Y V PARELOUP,9,14,14,15,16,OCS,68,14
FRA,,Lecourieux Olivier,Galindo Marc,C V THOUX ST-CRICQ,10,15,DNF,16,15,12,68,15
FRA,,Schwebel Eric,Fabre Adeline,C Y V PARELOUP,DNC,13,DNF,14,14,DNF,79,16
FRA,,Mathieu Chartier,Fouilland Olivier,C Y V PARELOUP,16,18,DNF,17,17,13,81,17
FRA,,Delmur Patrick,Seguret Franck,C Y V PARELOUP,17,16,DNF,DNF,18,14,84,18
