Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
FRA,8702,Philippe Boite,Angela Stenger,CVM,9,1,2,3,1,1,17,,1
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,2,2,1,1,3,4,13,,2
FRA,8676,Marcel Buffet,Antoine Victor,CVP,7,6,5,2,2,6,28,,3
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,4,5,4,6,4,OCS 15,38,,4
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,5,3,3,12,6,8,37,,5
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,6,8,6,11,5,2,38,,6
GER,8473,Oliver Kraft,Alexander Göggle,SSCM,3,7,7,5,9,5,36,,7
FRA,8716,Christian Silvestre,Gael Le Mauguen,CVB,1,4,9,8,8,7,37,,8
GER,8691,Günther Böckle,Frank Heimburger,SSCM,8,9,12,4,7,3,43,,9
FRA,8301,Benoit Blaison,Erwan Dufumier,,DNF 15,13,11,7,11,9,66,,10
FRA,5017,Till Stürmer,Renate Dechener,ACAL,12,11,8,10,10,DNF 15,66,,11
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,10,12,10,14,13,10,69,,12
FRA,4479,Alain Beltzung,Julien Beltzung,,11,10,13,13,14,11,72,,13
FRA,5411,Charles Maire,Celine Maire,ACAL,13,14,14,9,12,DNC 15,77,,14
