Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8670,Martin Görge,Klaus Köhnlein,TSVS,4,3,2,9,9,1
GER,8744,Hans-Heinrich Rix,Steffen Achenbach,TSVS,2,4,4,10,10,2
GER,8651,Claas Lehmann,Martin Schöler,NRV,7,6,6,19,19,3
GER,8619,Jens Findel,Johannes Tellen,KYC,17,1,3,21,21,4
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,8,7,9,24,24,5
DEN,8581,Jon Andersen,Lasse Andresen,Reers,16,2,8,26,26,6
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,5,10,13,28,28,7
GER,8622,Lutz Stengel,Frank Feller,ROYC,1,DNC 27,1,29,29,8
GER,8563,Klaus Heeschen,Stefan Schmidt,WSCW,6,14,11,31,31,9
GER,8768,Jörg Häger,Thorsten Drewes,SCW,14,13,5,32,32,10
GER,8665,Jens-Peter Schlomka,Urs Wihlfart,TSVS,10,8,15,33,33,11
GER,8686,Christian Niefert,Thomas Weber,BSV,15,12,7,34,34,12
DEN,8656,Bö Pedersen,Henrik Buhl,,3,5,DNC 27,35,35,13
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,9,15,19,43,43,14
GER,8749,Stephan Krause,Michael Krause,HiSC,18,16,12,46,46,15
GER,8669,Tim Böger,Rolf Meyer,HSC,DNF 27,9,10,46,46,16
GER,8433,Jürgen Anton,Wolfdietrich Pfeiffer,HSC,11,22,16,49,49,17
GER,8657,Georg Neulen,Kai-Uwe Weiss,WYCA,12,19,27,58,58,18
GER,8471,Daniel Van Bonn,Malte Coers,SKBUE,21,17,17,55,55,19
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,20,11,OCS 27,58,58,20
GER,8414,Stefan Worm,Mathias Kaiser,RYC,13,18,DNF 27,58,58,21
GER,8522,Hannes Lehning,Jens Rohn,SWE,19,23,18,60,60,22
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,DNC 27,20,14,61,61,23
GER,8675,Karsten Morf,Antje Jansen,CKA,22,21,DNF 27,70,70,24
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,DNF 27,24,21,72,72,25
GER,8370,Karsten Stümpel,Matthias Struck,HSC,DNF 27,25,22,74,74,26
