Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
GER,8642,"Thoralf Greger","Anna Höll",ASVG,1,1,1,1
GER,8625,"Falko Braun","Nette Jansen",,2,2,2,2
GER,8621,"Stephan Schweiger","Ines Berghof",SCLW,3,3,3,3
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,4,4,4,4
GER,8562,"Nikolaus Jägersberg","Thomas Holik",SCLW,5,5,5,5
GER,7921,"Jochen Heydolph","Berthold Frohmader",SCLW,6,6,6,6
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,7,7,7,7
GER,8210,"Christian Pittack","Anne Fitzpatrick",SCLW,8,8,8,8
GER,8579,"Peter Wackerbauer","Claudia Opitz",RSB,9,9,9,9
GER,7442,"Christina Friedrich","Claudius Zeiler",DHH-RG,10,10,10,10
GER,8105,"Karsten Contag","Ivonne Werner",SCLW,11,11,11,11
GER,8204,"Guido von Walter","Wiebke Waldheim",SCLW,12,12,12,12
GER,8777,"Michael Fischer","Francisco Sanguino",DTYC,13,13,13,13
GER,7970,"Nils Burghard","Rainer Schork",SCLW,14,14,14,14
GER,7708,"Fabian Martyson","Jürgen Wiesmeier",SGR,15,15,15,15
GER,8375,"Thorsten Koch","Franziska Koch",SCLW,16,16,16,16
GER,8388,"Caroline Szesny","Peter Wolffram",FYC,17,17,17,17
GER,8428,"Ivonne Seifert","Robert Martyson",SCLW,18,18,18,18
GER,7801,"Benjamin Grosskurth","Susanne Grosskurth",SCLW,19,19,19,19
