Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2",Brutto,Netto,Place
GER,8622,"Lutz Stengel","Frank Feller",ROYC,1,1,2,2,1
GER,8669,"Tim Böger","Thomas Jung",HSC,3,3,6,6,2
GER,8850,"Stefan Köchlin","Axel Priegann",SKF,5,2,7,7,3
DEN,8728,"Rainer Görge","Arnd Hover",,2,7,9,9,4
GER,8873,"Boris Herrmann","Julien Kleiner",ZSK,4,5,9,9,5
GER,8875,"Jens Findel","Johannes Tellen",KYC,6,4,10,10,6
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,8,9,17,17,7
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,10,8,18,18,8
GER,8758,"Jürgen Hatje","Ole Günther",KYC,13,6,19,19,9
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,7,12,19,19,10
GER,8418,"Jan Sell","Wiebke Gewinn",TUSF,12,1,13,13,11
GER,8317,"Hartwig Friedrichs","Antje Gosch",WSCW,9,14,23,23,12
GER,8806,"Jan Forster","Daniel Wehden",SGaM,11,13,24,24,13
GER,8575,"Florian Reichel","Oliver Korittki",SVG,16,11,27,27,14
GER,8657,"Georg Neulen","Kai-Uwe Weiss",WYCA,15,15,30,30,15
GER,8634,"Oliver Booth","Gerrit Haaland",HSC,14,17,31,31,16
GER,8619,"Steve Kwee","Henrik Masekowitz",HSC,17,16,33,33,17
GER,8370,"Karsten Stümpel","Matthias Struck",HSC,18,19,37,37,18
GER,8252,"Peter Schäftlein","Uwe Kersten",SVF,19,2,21,21,19
GER,8505,"Adalbert Kluck","Niels Metger",TSVS,"DNC 21",18,39,39,20
