Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2",Brutto,Netto,Place
GER,8621,"Stephan Schweiger","Jonas Nissen",SCLW,4,1,5,5,1
GER,8672,"Karsten Contag","Guido von Walter",SCLW,6,2,8,8,2
GER,8777,"Wolfgang Hiltscher","Francisco Sanguino",SCLW,2,6,8,8,3
GER,8769,"Nathalie Friedrich","Claudius Zeiler",SCLW,1,11,12,12,4
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,9,3,12,12,5
GER,7789,"Thomas Holik","Ivonne Seifert",SGR,3,1,4,4,6
GER,8507,"Thorsten Koch","Franziska Koch",SCLW,5,9,14,14,7
GER,8719,"Albrecht Maisch","Frank Letsche",SGK,7,7,14,14,8
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,8,8,16,16,9
GER,8518,"Klaus Eifler","Thomas Thym",SCLW,12,5,17,17,10
GER,8519,"Robert Wisolek","Timo Klapper",SCLW,"DSQ 15",4,19,19,11
GER,8388,"Peter Wolffram","Caroline Szesny",,10,13,23,23,12
GER,8658,"Leonhard Stratmann","Hanno Stratmann",SCLW,"DNF 15",12,27,27,13
GER,8697,"Wilfried Stuis","Jürgen Wiesmeier",YCN,11,14,25,25,14
