Ctry,Sail_No,Helmsman/Crew,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Tot Pts,os
GER,8851,Wolfgang Hunger,Holger Jess,"PYC,KYC",-24,4,3,1,1,1,-14,10,9,29,1
USA,8714,Mike Martin,Jesse Falsone,"NHYC,SSA",17,-42,4,2,-31,4,1,3,4,35,2
GER,8728,Dietrich Scheder-Bieschin,Reiner Görge,"NRV,CKA",2,9,8,15,3,-41,5,5,-17,47,3
DEN,8620,Jan Saugmann,Morten Ramsbaek,"HiS,FAS",-20,12,9,3,4,2,6,-16,13,49,4
USA,8824,Andy Beeckmann,Jeff Nelson,,15,5,10,11,-24,6,2,-23,1,50,5
GER,8651,Claas Lehmann,Martin Schöler,"NRV,DSC",10,10,6,10,2,8,-35,-12,5,51,6
GER,8672,Christian Kellner,Klaus Stammerjohann,"HSC,WSCW",-39,2,12,4,-50,5,21,2,8,54,7
USA,8842,Mark Ivey,Shane Illidge,HHYC,7,13,1,9,6,7,18,-26,-39,61,8
USA,8266,Howard Hamlin,Cam Lewis,"NHYC,NYYC",8,-58,-17,6,10,12,4,6,16,62,9
GBR,8881,Terry Scutscher,Christian Diebitsch,"S SC,GW SC",14,-20,5,5,19,17,-33,4,12,76,10
DEN,8656,Bo Petersen,Henrik Buhl,"FS,SB",26,6,7,13,5,16,-41,-35,19,92,11
GER,8807,Morten Bogacki,Christian Lindemann,"DYC,ETuF",6,-98,16w,(DNF),16,11,7,24,32,112,12
GBR,8882,Ian Pinnell,Steve Hunt,"HI SC,HI SC",13,-55,14,20,7,25,-47,19,14,112,13
GER,8875,Jens Findel,Johannes Tellen,"SVG,RSC' 77",16,1,-34,22,12,21,12,-33,29,113,14
GER,8744,Jörg Häger,Heini Rix,"SCB,TSVS",(DSQ),7,19,16,15,14,-30,25,21,117,15
USA,8554,Douglas Hagan,Rob Woelfel,"TISC,TISC",19,-33,(DSQ),12,26,13,19,29,3,121,16
GER,8873,Boris Herrmann,Julien Kleiner,"ZSK,KYC",11,24,22,25,-29,3,26,11,-34,122,17
GER,8862,Stefan Böhm,Gerald Roos,"SCV,SVWu",-106,3,25,26,(DNC),22,9,1,45,131,18
USA,8715,Ethan Bixby,Erik Boothe,"SP YC,SP YC",25,-41,39,21,11,10,3,-41,26,135,19
SWE,8232,Ebbe Rosen,Olle Wenrup,"MKS,MKS",-41,17,-51,17,9,23,11,40,18,"135,5",20
GER,8670,Martin Görge,Torsten Haverland,"SYC,SYC",12,23,(DNF),8,21,-51,38,17,22,141,21
GER,8750,Michael Rössler,Holger Neuhaus,"SKMD,SC Hatti",1,25,23,-33,17,33,29,-47,27,155,22
GBR,8836,Mike Holt,Neil Fulcher,"SC YC,S SC",23,-96,33,18,33,-79,39,13,2,161,23
GER,8725,Tom Gosch,Rolf Meyer,"ENSFR,SCED",30,31,18,-76,-70,31,31,18,6,165,24
FRA,8771,Philippe Boite,Fabrice Toupet,,32,8,36,24,-39,9,-43,21,37,"167,5",25
GER,8843,Nicolai Völckner,Lars Dehne,"HSC,SVH",29,-97,13,14,40,-80,32,30,10,"168,5",26
GER,8669,Tim Böger,Thomas Jung,"HSC,WSCW",34,-44,-37,32,28w,35,10,13w,23,"175,5",27
SUI,8569,Cédric Bart,René Betschen,"CNB,CNB",-38,-46,28,37,32,26,16,8,36,183,28
GER,8850,Stefan Koechlin,Axel Priegann,"SKF,SKF",54,(DNF),(DSQ),19,14,15,28,14,40,184,29
GER,8622,Lutz Stengel,Frank Feller,"RoYC,RoYC",5,-57,35,36,20,38,23,-55,31,188,30
GER,8466,Volker Niediek,Stefan Heising,"BSV,BSV",4,22,(DNC),54,36,29,17,-58,30,192,31
SWE,8844,Jan Eriksson,Johann Arvedson,"NSS,MSS",21,-54,16,(DNC),22,39,27,45,24,194,32
GER,8580,Markus Muehlbauer,Andreas Achterberg,"DTYC,DTYC",-57,30,24,-41,30,30,34,28,20,196,33
USA,8631,Parker Shinn,Ryan Lorence,"SD YC,St FYC",42,36,15,-47,23,18,20,46,-60,200,34
GER,8720,Dirk Filimonow,Lars Stöckmann,"BSV,BSV",9,-74,31,-49,45,20,22,37,38,202,35
DEN,8849,Per Larsen,Hendrik Andresen,"FAS,FAS",3,11,27,38,46,27,52,-68,(DNC),204,36
GER,8880,Helen Fischer,Robert Rothe,"BYC,BYC",-71,27,(DSQ),30,28,28,36,32,25,206,37
DEN,8826,Tom Bojland,Lasse Andreasen,"FAS,REERSÖ",43,-49,29,27,18,-47,37,20,46,220,38
GER,8666,Gunter Peters,Steffen Achenbach,"EnSfr,WYC",-44,43,42,7,42,-81,44,39,7,224,39
GER,8876,Sophie Söllner,Wolfgang Stückl,"CYC,DTYC",27,21,41,(DNF),38,36,13,50,(DNC),226,40
GBR,8555,Charlie Walters,Dougal Cram,"DWSC,LR",-68,65,30,29,34,-87,46,7,28,239,41
GER,8777,Stefan Schollmayer,Frisco Sanguino,"SCMSP,DTYC",40,26,20,44,-48,40,48,27,-59,245,42
GER,8675,Volker Görge,Karsten Morf,"TSVS,CKA",-109,70,44,31,-101,53,8,15,33,254,43
SUI,8729,Florian Stauffer,Philippe Jacot,"CVN,CVN",60,77,38,(DNF),-85,48,15,9,43,290,44
AUS,8588,Murry Smith,Andrew Harry,"RFBYC,F SC",112,-119,40,23,43,(DNF),24,38,15,295,45
GER,8878,Hasso Plattner,Peter Alarie,KYC,-63,45,11,34,-63,50,56,53,50,299,46
GER,8531,Michael Troch,Eckart König,"SGJ,SGJ",31,56,(DNC),-78,49,32,63,43,35,309,47
AUS,8840,Michael Quirke,Pip Pearson,,-88,51,21,62,13,19,71,83,(DNC),320,48
GER,8563,Klaus Heeschen,Stefan Schmidt,"TSVS,SvSS",59,16,(DNC),43,-102,68,25,70,41,322,49
GER,8539,Hendrik Schultz,Ute Oberländer,"SCLW,CKA",37,37,45,-68,61,37,59,49,-67,325,50
DEN,8828,Jorgen Bojsen-Moller,Jacob Bojsen-Moller,"HS,HS",47,15,2,28,8,59,(DNC),(DNC),DNC,334,51
GBR,8885,Ben Illiffe,Simon Lake,"HI SC,HI SC",-89,28,55,46,87,-97,82,31,11,340,52
GER,8686,Christian Niefert,Thomas Weber,"BSV'79,BSV'79",-80,-100,58,53,27,49,49,64,42,342,53
GER,8747,Jörg Thumann,Oliver Stieglitz,"WSU,HSC",50,59,71,40,-83,-77,53,22,48,343,54
GBR,8773,Norman Byrd,Alex Davies,"DW SC,DW SC",61,-85,57,45,52,44,-69,36,56,351,55
GER,8730,Jens Hufnagel,Markus Schöner,"SLRV,HSC",92,-105,49,51,47,24,40,(DNF),61,364,56
GER,8806,Jan Forster,Daniel Wehden,"DJC,DJC",-117,63,56,-70,56,43,55,44,47,364,57
GER,8693,Michael Daisenberger,Florian Lautenschläger,"DTYC,DTYC",36,-127,-70,60,58,52,45,48,68,367,58
GER,8665,Jens-Peter Schlomka,Urs Wihlfahrt,"TSVS,ENSFR",46,-66,59,48,54,-69,66,54,53,380,59
USA,8831,Pierre Jeangirard,Paul Von Grey,"WINSA,WINSA",65,68,46,-79,71,55,42,34,(DNC),381,60
GER,8663,Nørbert Dasenbrook,Sven Meier,"KSW,SKBUe",-107,71,54,52,35,56,64,-73,51,383,61
GER,8751,Melanie Oestergaard,Angela Stegner,"HSC,MYC",48,64,-80,-114,44,34,57,67,70,384,62
