Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8772,Ronald Roos,Kirsten Roos,SVWu,2,1,2,1,3,9,,1
BEL,8649,Bart Meyndonck,Chris Lehouck,VVWH,3,2,1,3,2,11,,2
BEL,8773,E De Froidment,Chris Lehouck,,1,3,3,2,9,18,,3
FRA,8676,Marcel Buffet,Roger Chabaud,CVP,5,6,5,4,4,24,,4
FRA,8623,Gerard Daugey,Dominique Rouanne,SVST,4,4,10,7,6,31,,5
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,CVA,11,5,4,6,7,33,,6
FRA,8687,Philippe Lucienne,Vivien Lucienne,SRDC,7,7,DNF 22,8,1,45,,7
BEL,8564,Didier Trine,Philippe Vandersteen,KYC,9,8,6,5,5,33,,8
FRA,8133,François de Lisle,Herve Brillaud,CVP,6,13,11,11,8,49,,9
FRA,8566,Etienne Portelance,Olivier Thiberge,,8,15,8,9,11,51,,10
FRA,8770,Lionel Lesoil,Jean-Marc Noclain,,10,11,7,16,13,57,,11
BEL,8062,Frangois Hardy,Vincent Hardy,HZC,16,16,9,10,10,61,,12
FRA,8688,Bernard Blondy,Alain Conotte,CVA,12,9,12,12,14,59,,13
BEL,7979,Luc Crets,Cedric Crets,,13,14,13,17,12,69,,14
BEL,8362,Benoît Raucent,Phillippe Chevelier,,15,18,17,14,15,79,,15
FRA,8717,Jean-Baptiste Dupont,Xavier Finet,AS,DNC 22,12,15,13,DNC 22,84,,16
FRA,8742,Thomas Pype,Romain Delmotte,,14,17,16,15,17,79,,17
FRA,8509,Pierre Muh,Dominique Keraudren,CNVC,DNC 22,10,14,DNF 22,DNC 22,90,,18
FRA,6395,J-C Plateaux,S Rigot,,17,19,18,18,16,88,,19
BEL,6720,S Lannoo,K Lannoo,,18,20,19,19,18,94,,20
BEL,7695,Ph Moget,G Gennart,,19,21,20,DNC 22,DNC 22,104,,21
