Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Brutto,Netto,Place
GBR,8882,Ian Pinnell,Steven Hunt,GWSC,2,1,2,1,2,[OCS 52],3,2,65,13,1
FRA,8771,Philippe Boite,Fabrice Toupet,CVM,[BFD 52],2,1,3,1,4,2,1,66,14,2
FRA,8321,Bertrand Loyal,Frederic Bouillet,,[9],4,3,4,4,5,6,3,38,29,3
FRA,8748,Serge Gubri,Gilles Carvallo,JMIAM,4,5,8,7,3,1,[9],7,44,35,4
GER,8751,Helen Fischer,Angela Stenger,BYC,1,14,[BFD 52],6,13,2,1,6,95,43,5
FRA,8895,Pierre-Jean Gallo,Régis Viateur,CNE,6,16,18,10,5,3,[20],4,82,62,6
SUI,8729,Florian Stauffer,Philippe Jacot,CVN,3,3,[BFD 52],2,10,9,5,OCS 52,136,84,7
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,19,8,17,11,20,7,8,[DNF 52],142,90,8
FRA,6367,Antoine Lafortune,Geraud Lafortune,CVSP,5,21,[BFD 52],32,21,6,7,5,149,97,9
FRA,8704,Christian Martenot,Thibault Di Pede,CVSP,10,13,11,[38],29,19,17,10,147,109,10
FRA,8870,Christian Silvestre,Christian Vallaud,CVB,7,6,[BFD 52],14,17,8,RAF 52,8,164,112,11
GBR,8905,Stuart Turnbull,Jason Lunn,Burton,8,18,16,17,35,13,10,[DNF 52],169,117,12
FRA,845*,Nicolas Martin,Nicolas Duhay,,13,24,23,22,8,11,18,[DNF 52],171,119,13
FRA,8484,Philippe Blanchard,Charles Maire,ACAL,25,9,5,24,37,10,14,[DNF 52],176,124,14
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,16,25,4,35,7,17,24,[DNF 52],180,128,15
FRA,8400,Florian Faucheux,Cedric Faucheux,CST,23,26,13,15,22,14,16,[DNF 52],181,129,16
FRA,8693,Pierre Soulier,Francis Cornu,YC Carnac,20,11,15,5,27,[OCS 52],4,DNF 52,186,82,17
