Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,2,1,DNF 24,1,1,29,,1
GER,8875,Jens Findel,Johannes Tellen,KYC,1,5,1,2,4,13,,2
GER,8850,Stefan Köchlin,Axel Priegann,SKF,3,2,9,OCS 24,3,41,,3
GER,8669,Tim Böger,Thomas Jung,HSC,5,10,3,4,5,27,,4
GER,8622,Lutz Stengel,Frank Feller,ROYC,4,4,5,6,6,25,,5
GER,8686,Christian Niefert,Thomas Weber,BSV,9,6,2,11,7,35,,6
GER,8670,Martin Görge,Klaus Köhnlein,TSVS,7,7,14,9,2,39,,7
GER,8880,Meike Schomäker,Robert Rothe,ZSK,6,14,7,3,12,42,,8
GER,8563,Helen Fischer,Klaus Heeschen,BYC,8,9,DNF 24,8,8,57,,9
GER,8665,Jens-Peter Schlomka,Urs Wihlfart,TSVS,13,8,4,10,13,48,,10
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,10,11,8,14,9,52,,11
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,12,12,10,7,10,51,,12
GER,8806,Jan Forster,Daniel Wehden,SGaM,15,13,DNF 24,5,11,68,,13
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,14,15,6,15,17,67,,14
GER,6816,Andreas Jungclaus,Bruno Laudage,HSC,16,17,11,12,14,70,,15
GER,8418,Jan Sell,Wiebke Gewinn,TUSF,19,16,12,19,15,81,,16
GER,8734,Jan Behrendt,Klaus Stammerjohann,NRV,11,3,DNF 24,DNF 24,DNF 24,86,,17
GER,8433,Jürgen Anton,Ulf Denecke,HSC,18,23,13,18,18,90,,18
GER,8550,Martha Hauschild,Michael Heyder,SCS,21,19,16,16,16,88,,19
GER,8675,Karsten Morf,Heike Jansen,CKA,17,18,DNF 24,13,DNF 24,96,,20
GER,8619,Steve Kwee,Matthias Struck,HSC,DNF 24,20,15,20,20,99,,21
GER,8730,Karsten Stümpel,Enno Wilts,HSC,20,21,DNF 24,17,19,101,,22
GER,8483,Ingvild Buchholz,Wolfgang Buchholz,SBF,DNF 24,22,DNF 24,21,21,112,,23
