Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,8806,"Lutz Stengel","Frank Feller",ROYC,1,1,1,3,5,3,1,15,,1
GER,8625,"Alex Cross","Falko Braun",SCR,3,5,2,2,3,1,3,19,,2
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,4,2,7,1,4,2,6,26,,3
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,2,3,6,6,1,6,2,26,,4
GER,8478,"Malte Christophersen","Sebastian Salein",KAR,5,4,5,4,6,4,5,33,,5
GER,8825,"Armin Eismann","Tino Käcks",SCA,8,6,4,8,2,5,4,37,,6
GER,8365,"Steffen Dülsen","Robert Hanke",VSW,6,7,3,5,9,"DNF 17",10,57,,7
GER,8550,"Martha Hauschild","Michael Heyder",SCS,7,11,8,10,7,8,8,59,,8
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,11,9,11,9,8,7,7,62,,9
GER,8433,"Jürgen Anton","Ulf Denecke",HSC,9,8,9,7,10,10,9,62,,10
GER,8719,"Albrecht Maisch","Frank Letsche",SGK,12,12,10,13,12,"ATP 17",11,87,,11
GER,8607,"Antje Paulsen","Björn Schaar",BSV,10,10,"DNC 17",11,"DNF 17","DNC 17","DNC 17",99,,12
GER,8730,"Karsten Stümpel","Enno Wilts",HSC,13,13,"DNC 17",16,15,12,14,100,,13
GER,8575,"Benjamin Bintig","Oliver Korittki",YCO,"DNC 17","DNC 17","DNC 17",15,13,9,13,101,,14
GER,5896,"Ole Paulsen","Hannes Becker",BSV,"DNC 17","DNC 17","DNC 17",12,11,11,"DNC 17",102,,15
GER,8533,"Roger Bussenius","Robert Bussenius",SCOH,"DNC 17","DNC 17","DNC 17",14,14,"ATP 17",12,108,,16
