Nat,SailNo,Helm,Crew,,R1,R2,R3,R4,Nett,Rank
USA,8266,Howie Hamlin,Jeff Nelson,,2,1,3,(13.0),6,1st
USA,8883,Tyler Moore,Jesse Falsone,,(16.0),2,5,1,8,2nd
GER,8903,Boris Herrmann,Julien Kleiner,,1,8,1,(DNC),10,3rd
GBR,8882,Ian Pinnell,Steve Hunt,,3,4,(6.0),6,13,4th
GBR,8908,Mark Upton Brown,Ian Mitchell,,8,(77.0 DNF),2,4,14,5th
GBR,8743,Ian Barker,Mark Darling,,5,5,(9.0),8,18,6th
GER,8728,Dietrich Scheder,Rainer Goerge,,6,9,4,(11.0),19,7th
USA,7200,Ali Meller,Mike Coe,,(20.0),3,10,7,20,8th
GER,8875,Jens Findel,Johannes Tellen,,(13.0),7,8,5,20,9th
GER,8915,Hasso Plattner,Peter Alarie,,10,6,11,(26.0),27,10th
FIN,8768,Pentti Matti,Otto Toivanen,,9,10,(13.0),9,28,11th
GER,8751,Helen Fisher,Angela Stenger,,4,(31.0),23,3,30,12th
AUS,8886,Michael Quirk,Geoff Lange,,(15.0),13,7,14,34,13th
USA,8660,Ben Moon,Nick Nelson,,12,17,16,(27.0),45,14th
GBR,8835,Charlie Walters,Dougal Cram,,17,(20.0),14,18,49,15th
GBR,8773,Andrew Smith,Norman Byrd,,7,22,22,(23.5),51,16th
USA,8722,Macy Nelson,Dustin Romey,,23,18,(24.0),10,51,17th
GBR,8881,Terry Scutcher,Christian Diebitsch,,14,(77.0 DNF),18,19,51,18th
GER,8686,Christian Niefert,Thomas Weber,,(25.0),11,17,25,53,19th
USA,8831,Pierre Jeangirard,Paul Von Grey,,22,12,21,(38.0),55,20th
AUS,8921,Nigel Lott,Bob Franks,,21,24,15,(30.0),60,21st
GBR,8914,Alex Cherry,Magnus Leask,,18,(37.0),27,17,62,22nd
GBR,8834,Russell Short,Andrew Short,,11,(35.0),34,21,66,23rd
GER,8880,Meike Schomaeker,Robert Rothe,,19,29,19,(DNC),67,24th
AUS,8794,Michael Babbage,James McAllister,,39,15,20,(77.0 DNF),74,25th
GBR,8909,Christopher Dando,Donald Sloan,,31,23,(33.0),20,74,26th
GBR,8701,Rob Napier,Matt Bristow,,24,(32.0),30,22,76,27th
AUS,8781,Earle Alexander,Ian Gregg,,26,21,31,(32.0),78,28th
GER,8843,Jens Hufnagel,Lars Dehne,,(77.0 DSQ),25,25,28,78,29th
GBR,8905,Stuart Turnbull,Jason Lunn,,29,16,35,(45.0),80,30th
GBR,8885,Ben Illiffe,Simon Lake,,32,26,32,(44.0),90,31st
AUS,8840,Kevin Cameron,Jeremy Manders,,35,27,29,(37.0),91,32nd
GER,8418,Jan Sell,Stefan Schmidt,,28,33,36,(39.0),97,33rd
GBR,8741,Toby Dale,James Cole,,(40.0),30,28,40,98,34th
IRL,8429,Michael Ennis, ,,33,38,(40.0),31,102,35th
GBR,8726,Martin Stainsby,Martin Grady,,27,36,41,(47.0),104,36th
USA,8753,Ian McKeige,Douglas McKeige,,(38.0),34,38,33,105,37th
USA,8631,Parker Shinn,Garreth Williams,,(77.0 DNS),14,77.0 DNF,15,106,38th
GBR,8836,Robin Brown,Neil Fulcher,,(DNC),19,12,DNC,108,39th
USA,8790,John Wyles,Sol Marini,,34,39,37,(49.0),110,40th
GBR,8678,Paul Davies,John Davies,,36,40,39,(41.0),115,41st
FRA,8847,Michel Boiry,Thomas Chartier,,30,44,45,(56.0),119,42nd
ITA,8097,Marco Giraldi,Gabriele Cortegiani,,43,41,44,(53.0),128,43rd
DEN,8826,Tom Bojland,Helge Rasmussen,,(DNC),28,26,DNC,131,44th
GBR,8749,Alastair Milton,Laurence Milton,,41,46,46,(59.0),133,45th
GBR,8907,Jim Berry,Richard Berry,,44,43,47,(77.0 DNF),134,46th
FRA,8444,Pierre Guibbal,Simon Chartier,,(DNC),42,43,55,140,47th
GBR,8234,Shaun Seear,Stuart Curtis,,46,48,49,(61.0),143,48th
GBR,8650,Terry Selfe,Alan Montague,,37,(DNC),DNC,35,149,49th
FRA,8603,Jean Philippe Chartier,Alain Chartier,,(DNC),45,48,58,151,50th
DEN,8620,Jan Saugman,Morten Ramsbaek,,(DNC),DNC,DNC,2,156,51st
SUI,8543,Cedric Bart,Ueli Marti,,(DNC),DNC,DNC,12,166,52nd
FRA,8748,Gilles Carvallo,Samuel Carvallo,,(DNC),47,42,DNC,166,53rd
GBR,8869,Martin Wedge,Scott Allen,,42,(DNC),DNC,48,167,54th
GBR,8774,John Webster, ,,(DNC),DNC,DNC,16,170,55th
GBR,8860,Kevin Holden,Tony Merry,,47,(DNC),77.0 DNF,51,175,56th
SUI,8569,Rene Betschen,Patrick Ducommun,,(DNC),DNC,DNC,23.5,177.5,57th
SWE,8912,Magnus Nilsson,Andreas Carlsson,,(DNC),DNC,DNC,29,183,58th
GBR,8378,Martin Hodgson, ,,(DNC),DNC,DNC,34,188,59th
DEN,8656,Henrik Buhl,Johnny Redholm,,(DNC),DNC,DNC,36,190,60th
FIN,8746,Raimo Raita,Juha Nurmela,,(DNC),DNC,DNC,42,196,61st
SWE,8787,Lars Bjerke,Tore Reinhold,,(DNC),DNC,DNC,43,197,62nd
GBR,7544,Peter Halliwell,,,45,(DNC),DNC,DNC,199,63rd
IRL,8408,Ewen Barry,Charles Dwyer,,(DNC),DNC,DNC,46,200,64th
FRA,8871,Breele, ,,(DNC),DNC,DNC,50,204,65th
FIN,7885,Jari Makela,Teemu Vastamaki,,(DNC),DNC,DNC,52,206,66th
GBR,8694,Ross Kenney,Adam Kenney,,(DNC),DNC,DNC,54,208,67th
GBR,8526,Tim Bird,Damon Smith,,(DNC),DNC,DNC,57,211,68th
GBR,8497,Bill Oliver,Dennis Cartwright,,(DNC),DNC,DNC,60,214,69th
GBR,8435,Patrick McGale,Alex Cull,,(DNC),DNC,DNC,DNC,231,70th
GBR,8490,Ben Farren-Price,Pete Brooke Houghton,,(DNC),DNC,DNC,77.0 DNF,231,70th
GBR,8514,Ben Jones,David Thorpe,,(DNC),DNC,DNC,DNC,231,70th
FRA,8521,Jean-Louis Guibbal,Matthieu Guibbal,,(DNC),DNC,DNC,77.0 DNF,231,70th
GBR,8568,Brian Newlyn,David Williams,,(DNC),DNC,DNC,DNC,231,70th
SUI,8729,Florian Stauffer,Phillipe Jacot,,(DNC),DNC,DNC,77.0 DNF,231,70th
USA,8822,Mike Holt,Carl Smit,,(DNC),DNC,DNC,77.0 DNF,231,70th
