Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
BEL,8649,Bart Meyndonck,Chris Lehouck,VVWH,2,2,2,2,2,2,12,,1
GER,8772,Ronald Roos,Kirsten Roos,SVWu,3,1,6,1,1,5,17,,2
FRA,8898,Pierre Muh,Dominique Keraudren,CNVC,7,5,1,5,3,3,24,,3
BEL,8742,Frederik Decocq,Koen Jourquin,SNEH,DNC 20,6,4,3,4,6,43,,4
BEL,8564,Didier Trine,Philippe Vandersteen,SNEH,12,4,10,4,8,4,42,,5
BEL,8133,Thomas Descamps,Sebastian Honorez,YCMN,14,9,13,9,7,1,53,,6
FRA,8566,Olivier Thiberge,Etienne Portelance,,4,11,9,7,9,10,50,,7
GER,8670,Gerhard Engel,Renita Engel,YCSB,5,8,12,10,5,11,51,,8
FRA,8676,Marcel Buffet,J-C Plateaux,CVP,9,12,3,8,14,8,54,,9
NED,8802,Frangois Hardy,Vincent Hardy,HZC,11,10,7,6,6,12,52,,10
BEL,8352,Benoît Raucent,Phillippe Chevelier,ULYC,DNC 20,7,15,11,12,7,72,,11
BEL,8688,Bernard Blondy,Bernard Vandersteen,CVA,8,15,8,14,13,9,67,,12
FRA,8623,Virginie Laurrent,Dominique Rouanne,YCC,13,14,5,12,16,13,73,,13
BEL,8734,Geert de Pauw,Joy Bouchez,NWVN,6,DNC 20,16,13,10,14,79,,14
BEL,7979,Luc Crets,Cedric Crets,,10,13,11,15,11,15,75,,15
BEL,8773,Pietr Van Loer,Eric Froidmont,,1,3,DNF 20,DNC 20,DNC 20,DNC 20,84,,16
BEL,8275,Michael Teheux,Nicolas Schiepers,CNV,15,17,14,16,15,16,93,,17
FRA,8278,Roger Chabaud,Thomas Pype,,16,16,17,18,17,17,101,,18
BEL,6720,S Lannoo,K Lannoo,,17,18,18,16,18,DNC 20,107,,19
