Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
GER,8901,"Nicola Birkner","Wolfgang Stückl",SVaW,1,1,1,1
GER,8663,"Benjamin Grosskurth","Christian Schönbach",SCLW,2,2,2,2
GER,8642,"Thoralf Greger","Christoph Klein",ASVG,3,3,3,3
GER,8928,"Hendrik Schultz","Thorsten Koch",SCLW,4,4,4,4
GER,8672,"Karsten Contag","Guido von Walter",SCLW,5,5,5,5
GER,8519,"Robert Wisolek","Nette Jansen",SCLW,6,6,6,6
GER,8580,"Moritz Bohnenberger","Andreas Achterberg",DTYC,7,7,7,7
GER,8702,"Martin Handel","Albrecht Maisch",SGK,8,8,8,8
GER,8463,"Frieder Achterberg","Arne Lanatowitz",DTYC,9,9,9,9
GER,8873,"Peter Heimbeck","Nils Burghard",SCLW,10,10,10,10
GER,8562,"Wolfgang Seifert","Ivonne Seifert",SCLW,11,11,11,11
GER,7921,"Jochen Heydolph","Jürgen Wiesmeier",SCLW,12,12,12,12
GER,8769,"Nathalie Friedrich","Claudius Zeiler",SCLW,13,13,13,13
GER,7970,"Mats Westholm","Luzie Sendtner-Voelderndorff",SCLW,14,14,14,14
GER,8861,"Hans-Otto Frisch","Timo Klapper",SCLW,15,15,15,15
GER,4601,"Benoit Dehais","Guillaume Catho",SRB,16,16,16,16
GER,7989,"Theo Kohl","Birgit Kohl","WWSC 70",17,17,17,17
GER,766,"Katinka Haslinger","Udo Wilters",MRSV,18,18,18,18
GER,8204,"Ingo Schneider","Sebastian Hoering",SCLW,19,19,19,19
GER,8507,"Christina Höll","Alexander Wilhelm",HSC,"OCS 23",23,23,20
GER,8475,"Göran Berggren","Christina Berggren",SCLW,"OCS 23",23,23,21
GER,8880,"Christian Kellner","Robert Rothe",HSC,"OCS 23",23,23,22
