Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8875,Jens Findel,Johannes Tellen,KYC,1,2,2,2,13,20,,1
DEN,8923,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,5,1,5,1,2,14,,2
GER,8728,Meike Schomäker,Rainer Görge,ZSK,7,7,3,5,1,23,,3
GER,8927,Martin Görge,Hans-Heinrich Rix,TSVS,3,5,7,3,6,24,,4
GER,8916,Stefan Köchlin,Axel Priegann,SKF,8,3,6,4,4,25,,5
GER,8806,Lutz Stengel,Frank Feller,ROYC,2,4,4,11,8,29,,6
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,9,8,1,9,3,30,,7
GER,8686,Christian Niefert,Thomas Weber,BSV,11,9,10,8,5,43,,8
GER,8466,Volker Niedik,Stefan Heising,BSV,17,6,10,8,5,46,,9
GER,8843,Bernd Rasenack,Lars Dehne,ZSK,18,11,16,6,11,62,,10
GER,8825,Michael Troch,Eckart König,SGJ,23,10,9,10,16,68,,11
GER,8874,Nørbert Dasenbrook,Sven Meier,KSW,15,13,14,15,7,64,,12
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,12,12,28,20,9,81,,13
GER,8721,Malte Christophersen,Sebastian Salein,KAR,14,17,8,16,17,72,,14
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,10,15,DNC 34,18,12,89,,15
GER,8880,Helen Fischer,Cornelius Heeschen,BYC,4,23,22,12,28,89,,16
GER,8666,Gunter Peters,Steffen Achenbach,,21,14,15,13,25,88,,17
GER,8725,Markus Maisenbacher,Lars Kruse,WVH,6,19,20,24,21,90,,18
GER,8929,Jürgen Waldheim,Klaus Heeschen,PYC,25,20,12,14,23,94,,19
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,19,25,18,22,15,99,,20
GER,8599,Florian Duwe,Markus Keding,TSC,20,22,19,28,14,103,,21
GER,8775,Carsten Engel,Tobias Neumeyer,PSVK,24,21,13,19,27,104,,22
GER,8904,Jan Forster,Marcus Neuß,SGaM,13,16,17,DNC 34,DNC 34,114,,23
GER,8625,Alex Cross,Falko Braun,SCR,16,24,23,21,26,110,,24
GER,8563,Stefan Schmidt,Tim Mütze,SVSS,29,27,21,17,19,113,,25
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,30,18,24,23,29,124,,26
GER,8933,Franziska Unkelbach,Wolfgang Bogacki,KYC,26,31,DNC 34,29,10,130,,27
GER,8522,Thomas Wieting,Hannes Lehning,WVH,22,29,27,25,22,125,,28
GER,8418,Jan Sell,Wiebke Gewinn,TUSF,27,26,25,27,24,129,,29
GER,8590,Kurt Reincke,Carsten Hehl,HSC,32,30,31,31,20,144,,30
GER,8550,Martha Hauschild,Michael Heyder,SCS,28,32,29,26,30,145,,31
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,33,28,30,30,32,153,,32
GER,8392,Konrad Barop,Daniel Zenker,RSV,31,33,26,DNC 34,31,155,,33
