Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
Club,,"Boat Number",Helm,Crew,"Race 1 19",19,19,Country
Crew,,,"Boat Number",Helm,"Race 1 18 19",19,19,Club
Rainer,Görge,,8728,"Meike Schomäker",1,1,1,ZSK
Julien,Kleiner,,8915,"Boris Herrmann",2,2,2,ZSK
Johannes,Tellen,,8873,"Kerstin Beuke",4,4,4,HYC
Lars,Dehne,,8843,"Nicolai Völckner",3,3,3,HSC
Lars,Kruse,,8725,"Markus Maisenbacher",6,6,6,WVH
Arne,Schomöcker,,7035,"Michael Köritz",5,5,5,USCO
Meike,Michielsen,,8608,"Bernd Rasenack",11,11,11,ZSK
Bruno,Laudage,,6816,"Andreas Jungclaus",8,8,8,HSC
Frederik,Tasche,,8720,"Lennart Tasche",9,9,9,WSVG09
Frank,Wille,,8528,"Andre Tirre",14,14,14,YCS
Oliver,Korittki,,8575,"Benjamin Bintig",7,7,7,YCO
Christoph,Köster,,8480,"Marc Köster",10,10,10,BSV-AT
Ute,Stümpel,,8370,"Karsten Stümpel",15,15,15,HSC
Henry,Stoffers,,8297,"Mario Tirre",13,13,13,SCZ
Jan,Wiechmann,,8730,"Enno Wilts",12,12,12,SVBB
Michael,Kramer,,7978,"Alexandra Wahler",16,16,16,
