Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8927,"Martin Görge","Hans-Heinrich Rix",TSVS,3,2,1,1,7,1,15,,1
GER,8825,"Michael Troch","Eckart König",SGJ,1,4,3,3,1,13,25,,2
GER,8669,"Tim Böger","Markus Schöner",HSC,2,1,6,7,2,4,22,,3
GER,8665,"Jens-Peter Schlomka","Thomas Tschentscher",TSVS,7,3,4,5,5,2,26,,4
GER,8662,"Jan Stölken","Matthias Brühl",SCU,8,9,2,2,3,7,31,,5
GER,8758,"Christian Maier-Kothe","Ole Rasschdorf",KYC,9,5,10,4,4,5,37,,6
GER,8522,"Thomas Wieting","Hannes Lehning",WVH,11,7,7,6,6,3,40,,7
GER,8433,"Jürgen Anton","Ulf Denecke",HSC,12,6,9,9,10,6,52,,8
GER,8843,"Nicolai Völckner","Lars Dehne",HSC,4,8,5,15,18,9,59,,9
GER,8720,"Lennart Tasche","Frederik Tasche",WSVG09,6,10,8,12,9,11,56,,10
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,5,11,13,8,11,15,63,,11
GER,8619,"Steve Kwee","Thorsten Spötter",HSC,10,12,14,18,12,8,74,,12
GER,8480,"Marc Köster","Christoph Köster",BSV-AT,13,17,17,20,14,10,91,,13
GER,7035,"Michael Köritz","Arne Schomöcker",USCO,16,16,12,11,17,"DNC 27",99,,14
GER,8575,"Benjamin Bintig","Oliver Korittki",YCO,18,14,16,13,15,19,95,,15
GER,8654,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,15,13,"DNC 27",14,13,22,104,,16
GER,6786,"Hendrik Reinhardt","Christopher Jantz",SVSF,"DNC 27","DNC 27",15,10,8,20,107,,17
GER,8500,"Christian Henge","Matthias Fedde",OSG,14,20,19,21,16,16,106,,18
GER,7228,"Thomas Kranich","Niels Mackens",SGR,19,"DNC 27",20,17,19,12,114,,19
GER,8634,"Kersten Weichborn","Gerrit Haaland",SCIA,"DNF 27",18,22,16,21,14,118,,20
GER,8098,"Nicholas Melzwig","Michaela Melzwig",LRV,17,15,18,23,24,23,120,,21
GER,6767,"Markus Hintz","John Christiansen",HSC,23,19,21,19,20,17,119,,22
GER,7746,"Christian Lempp","Max Rauner",HSC,24,23,23,22,23,18,133,,23
GER,8744,"Lutz Kandzia","Joachim Hindermith",ASV,20,21,11,"DNC 27","DNC 27","DNC 27",133,,24
GER,7732,"Iris Anton","Birgit Hartmann",HSC,21,22,24,25,22,21,135,,25
GER,7760,"Oliver Kranich","Kai Sommermeyer",SGR,22,24,25,24,25,24,144,,26
