Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Race 13,Race 14,Points Netto,Place
USA,8714,Mike Martin,Jeffrey Nelson,,[8],2,2,3,1,3,3,2,1,1,3,[9],3,4,28,1
USA,8081,Nick Adamson,Stephen Bourdow,,1,3,1,[7],2,1,5,6,5,[DNF],4,1,2,3,34,2
USA,8878,Howard Hamlin,Peter Alarie,,3,4,3,2,[8],2,6,1,2,2,2,[17],5,5,37,3
USA,8815,Dalton Bergan,Fritz Lanzinger,,5,6,7,8,[DNF],4,1,3,[14],5,1,7,1,1,49,4
USA,8822,Mike Holt,Ben Benjamin,,2,1,4,5,3,13,2,9,[22],3,10,4,15,[19],71,5
USA,8554,Douglas Hagan,Rob Woelfel,,6,5,8,4,5,5,4,5,9,[DNF],6,[24],8,13,78,6
USA,8660,Macy Nelson,Parry Barclay,,10,10,[19],9,6,6,9,10,12,9,[17],3,13,2,99,7
USA,7069,Adam Lowry,David Byron,,17,7,9,1,4,15,[DNC],12,3,4,[18],12,9,15,108,8
USA,7875,Jeff Miller,Mike Smith,,4,13,5,15,7,7,12,[19],4,6,[20],14,17,8,112,9
USA,8830,Ramsay Key,Andrew Buttner,,[22],[DNF],12,6,21,8,7,4,20,10,5,5,10,6,114,10
USA,8012,Henry Amthor,Adam Schell,,7,8,[17],10,[16],9,15,15,7,7,7,15,11,14,125,11
USA,8919,Tom Gosch,Douglas McKeigh,,16,11,[24],[20],11,12,13,7,16,12,16,11,4,7,136,12
USA,8831,Paul von Grey,Pierre Jeangirard,,9,15,6,19,17,14,8,13,19,[DNF],8,13,7,[23],148,13
USA,8823,Mats Elf,Jon Henderson,,[DNF],[DNC],10,11,DNF,11,10,8,6,13,21,6,12,9,150,14
USA,8558,Angus Brackett,Colin Orsini,,[DNF],[DNC],13,16,19,16,11,11,17,8,9,8,14,10,152,15
USA,7156,Aaron Ross,Rob Waterman,,13,9,16,17,10,[26],[18],17,8,14,14,18,16,16,168,16
CAN,8264,Jeff Boyd,Stephen Adolph,,11,[DNF],11,13,9,[DNF],26,DNF,11,19,11,2,18,12,176,17
USA,8912,Philip Cragg,Reto Corfu,,20,14,14,21,12,17,[23],16,13,11,15,16,[RAF],11,180,18
USA,8824,Jennifer Morgan Glass,Benjamin Glass,,12,18,15,14,[20],19,[20],14,10,18,19,19,6,18,182,19
USA,7873,Mark Dowdy,Jason Bright,,18,12,18,12,18,21,21,20,21,15,[27],23,26,20,219,20
USA,7153,Lee Laney,Blaine Pedlow,,15,[DNF],21,22,13,20,16,18,15,17,[24],22,23,22,224,21
USA,7346,Evan Thompson,Craig Thompson,,[DNC],[DNC],26,18,15,24,22,23,23,22,23,10,21,17,244,22
USA,8821,Katherine Long,Stephen Long,,[DNF],[DNC],23,24,22,25,25,24,25,20,12,20,25,24,269,23
USA,8904,Hubert Guy,Philip Toth,,19,17,[DNF],[DNF],27,10,27,21,26,23,25,27,22,28,272,24
USA,8829,Eben Russell,Mathias Kennerknecht,,[DNF],[DNC],DNF,25,14,22,14,25,18,16,28,DNF,19,27,274,25
USA,7611,JB Turney,Ned Turney,,[DNF],[DNC],20,23,DNF,23,17,DNF,DNF,21,13,21,20,21,278,26
USA,8763,Andrew Schmidt,Charles Asper,,14,16,[DNC],26,24,18,[DNF],DNC,24,DNF,26,28,27,25,294,27
USA,8939,John Wyles,Michael Renda,,[DNF],[DNF],DNF,28,26,28,19,22,DNF,DNC,22,25,24,26,319,28
USA,8453,Stuart Sinclair,Peter Tuck,,21,[DNF],22,27,23,27,24,26,[DNF],DNF,29,26,DNF,DNC,324,29
USA,831*,Charlie Dore,Christian Pittack,,[DNF],19,25,29,25,29,28,27,[DNC],DNC,DNF,DNC,DNC,DNC,347,30
USA,868*,Erik Coburn,Piper Dunlap,,[DNF],[DNC],DNF,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,396,31
USA,8617,Paul Pihl,,,[DNC],[DNC],DNC,DNC,DNC,DNF,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,396,31
