Nation,Boat No,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,points,
FRA,8716,Aline Martin,Chloe Lafortune,C V SEINE-PORT,1,1,4*,1,1,2,C V SEINE-PORT,6,1
FRA,0,Antoine Lafortune,Geraud Lafortune,C V SEINE-PORT,2,6*,1,5,2,1,C V SEINE-PORT,11,2
FRA,0,Baptiste Lafortune,Adrien Lafortune,C V SEINE-PORT,3,9*,3,3,4,3,C V SEINE-PORT,16,3
FRA,0,Benjamin Roulant,Melanie Julita,YCVL,5,11,9,2,6,15*,HOBIE RACING SCHOOL,33,4
FRA,0,Xavier Broise,Maxime Bayen,CERGY VOILE 95,7,10*,7,4,8,7,CERGY VOILE 95,33,5
FRA,0,Louis Lafortune,Alexandre Sabatier,C V SEINE-PORT,11*,8,6,6,7,6,C V SEINE-PORT,33,6
FRA,0,Jean Gael Monier,Delphine Markt,Club Var Mer,8,2,8,8,11*,10,YCM,36,7
FRA,0,Come Lafortune,Guillaume Sabatier,C V SEINE-PORT,9,12,5,14*,3,9,C V SEINE-PORT,38,8
FRA,0,Nicolas Martin,Romain Joly,C V SEINE-PORT,12,4,15,22 OCS*,5,5,C V SEINE-PORT,41,9
FRA,0,Alizee Debosque,Sylvain Burette,V G A ST MAUR VOILE,22 OCS*,7,2,7,DSQ,4,CERGY VOILE 95,42,10
FRA,0,Thomas Pype,Romain Delmotte,C V VALENCIENNES,6,3,11,10,13*,13,C V VALENCIENNES,43,11
FRA,0,Gael Tellier,Romain Jupille,C.N. VIRY CHATILLON,13,5,16,12,10,22 DNF*,V G A ST MAUR VOILE,56,12
FRA,0,Francois Hulin,Julien Egger,AEPA SECTION VOILE,14,15,10,11,17*,8,AEPA SECTION VOILE,58,13
FRA,0,Cedric Chaumillon,Adeline Hartmann,S R FECAMP,10,18*,13,13,9,14,C V DIEPPE,59,14
FRA,0,Nicolas Echivard,Julien Echivard,CNA VOILE,15,14,14,9,19*,11,CNA VOILE,63,15
FRA,0,Marine Salou,Jean-Yves Chauleau,C N HAUTE SEINE,4,19,12,19,18,22 DNF*,C N HAUTE SEINE,72,16
FRA,0,Florian Lemorvan,Bastian Le Morvan,ASPTT TROYES,22 DSQ*,13,20,17,14,12,ASPTT TROYES,76,17
FRA,0,Emilie Ruhlmann,Antoine Chiquet,A O G STRASBOURG,17,17,18,16,12,22 DNF*,C V BORDEAUX C M,80,18
FRA,0,Maud Atamaniuk,Valle Vincent Del,C V SEINE-PORT,19,16,17,15,16,22 DNF*,C N LOCTUDY,83,19
FRA,0,Edouard Dannebey,Geraldine Philippe,S R FECAMP,18,21,19,20,15,22 DNF*,S R FECAMP,93,20
FRA,0,Pauline Robin,Trystan Robin,A S U PAUL SABATIER,16,20,21,18,20,22 DNF*,C N CASTELNAUDARY,95,21
