Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8807,"Claas Lehmann","Leon Oehme",NRV,1,1,2,6,1,11,,1
GER,8750,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,2,5,1,1,2,11,,2
GER,8531,"Michael Daisenberger","Benedikt Schulte",DTYC,3,2,"DNF 23",5,6,39,,3
GER,8725,"Hannes Lehning","Lars Kruse",SWE,7,3,6,3,4,23,,4
GER,6768,"Andreas Jungclaus","Axel Priegann",HSC,4,4,7,4,7,26,,5
GER,8662,"Jan Stölken","Matthias Brühl",SCU,8,8,3,8,3,30,,6
GER,8480,"Marc Köster","Christoph Köster",BSV-AT,6,6,"DNC 23",2,10,47,,7
GER,8433,"Jürgen Anton","Ulf Denecke",HSC,15,14,4,7,5,45,,8
GER,7732,"Thomas Tschentscher","Urs Whilfahrt",HSC,16,7,5,9,"DNF 23",60,,9
GER,8619,"Steve Kwee","Thorsten Spötter",HSC,9,13,8,19,13,62,,10
GER,6685,"Christian Henge","Matthias Fedde",OSG,14,9,9,16,9,57,,11
GER,6767,"Markus Hintz","John Christiansen",HSC,12,"DNF 23",12,11,8,66,,12
GER,7228,"Thomas Kranich","Oliver Kranich",SGR,10,11,15,13,11,60,,13
GER,8654,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,18,10,10,12,"DNC 23",73,,14
GER,7035,"Michael Köritz","Martina Rückbbrod",USCO,5,12,13,"DNF 23","DNC 23",76,,15
GER,7861,"Katharina Menge","Henning Ries",OSG,20,"DNF 23",11,14,14,82,,16
GER,7299,"Jan-Frederick Jüttner","Dominik Bartels","SCS 78",21,"DNF 23",14,15,12,85,,17
GER,8049,"Matthias Tellen","Moritz Lüther",RSC,19,"DNF 23",16,"DNC 23","DNC 23",104,,18
GER,8664,"Nicholas Melzwig","Michaela Melzwig",LRV,11,"DNF 23","DNC 23","DNC 23","DNC 23",103,,19
GER,8065,"Guido Weiskopf","Tim-Jonas Juettner","SCS 78",13,"DNF 23","DNC 23","DNC 23","DNC 23",105,,20
GER,6169,"Jens Kühne","Katja Kilian",OSG,22,"DNF 23",17,"DNC 23","DNC 23",108,,21
GER,6817,"Ralf Schneidewind","Uta Pohland",KSC,17,"DNF 23","DNC 23","DNC 23","DNC 23",109,,22
