Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Boat Name,Points Total,Points Netto,Place
USA,6991,Channing Hamlet,,Mission Bay Yacht Club,1,1,High Maintenance,2,2,1
USA,7152,Gary Lee,,MBYC,3,2,Team Oat,5,5,2
USA,6931,Bill McKinney,,Mission Bay YC,2,3,Fever Pitch,5,5,3
USA,7873,Mark Dowdy,,San Francisco YC,6/ZFP,5,Floyd,11,11,4
USA,7773,John Billings,,Mission Bay Yacht Club,8,4/RDG,Kitty,12,12,5
USA,7611,Craig Perez,,Richmond Yacht Club,5,7,Dirty Harry,12,12,6
USA,6992,Joe Wells,,Sequoia YC,6,6,,12,12,7
USA,6393,Tom Laube,,Mission Bay Yacht Club,7,"9,4/SCP",,"16,4","16,4",8
USA,7201,John Gallagher,,MBYC,11/DNC,8,,19,19,9
USA,8411,Dan Merino,,MBYC,11/OCS,11/OCS,W'hanahakalugee,22,22,10
