Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
USA,8808,Nick,Andy/Steve,,6,2,1,2,2,1,,14,1
USA,8842,Bruce,Cameron,,"1,5",3,3,3,5,2,,"17,5",2
USA,888*,Mark,Arthur,,1,1,6,1,4,7,,20,3
USA,8822,Mike Holt,Carl Smit,,"1,5",11,5,4,1,3,,"26,5",4
USA,7156,Aaron Ross,Rob Waterman,,7,5,9,5,3,4,,33,5
USA,8813,Jeff,Mathias Kennerknecht,,4,9,4,6,6,6,,35,6
USA,7886,Pierre,Paul,,8,6,7,"7,5",7,5,,"40,5",7
USA,8904,Hubert Guy,Antoine Laussu,,9,4,8,"7,5",8,8,,"44,5",8
USA,8680,Bruce Edwards,Rich,,5,10,2,11,11,11,,50,9
USA,75??*,Steve,Peter,,10,7,10,11,11,11,,60,10
USA,7877,Nadine,Steve Anderes,,11,8,11,11,11,11,,63,11
USA,822*,Ian O'Leary,,,12,12,12,10,10,10,,66,12
