Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Netto,Place
USA,8714,Mike Martin,Jeffrey Nelson,,2,1,1,1,2,[DNS],7,1
USA,9002,Mike Holt,Carl Smit,,6,2,2,2,1,[DNS],13,2
USA,8762,Howard Hamlin,Ian Mitchell,,7,8,[9],4,7,1,27,3
GBR,9012,Ian Pinnell,Carl Gibbon,,8,7,7,[10],3,4,29,4
USA,8913,Tyler Moore,Geoff Ewenson,,1,[DNS],6,11,18,2,38,5
GER,8965,Andy Beeckman,Peter Alarie,,10,5,4,12,[DNS],9,40,6
USA,8681,Ryan Cox,Stuart Park,,[15],12,10,7,9,3,41,7
GBR,9006,Terry Scutcher,Christian Diebitsch,,12,4,[16],6,6,14,42,8
AUS,8946,Sandy Higgins,Paul Marsh,,9,13,15,5,[34],11,53,9
USA,8715,Ethan Bixby,Simon Gorman,,18,11,11,22,8,[DNS],70,10
DEN,8964,Jan Saugmann,Lasse B. Andersen,,[23],15,22,17,13,6,73,11
AUS,8920,Michael Quirk,Simon Reffold,,17,[DNS],20,8,17,16,78,12
AUS,8801,Peter Chappell,Ian Davidson,,20,3,27,9,21,[DNS],80,13
USA,8830,Ramsay Key,Andrew Buttner,,16,16,35,[DNF],12,13,92,14
USA,8081,Nick Adamson,Stephen Bourdow,,3,[DNS],5,3,4,DNS,94,15
USA,7875,Jeff Miller,Mike Smith,,22,22,18,[DNS],27,7,96,16
GBR,8963,Martin Hodgson,Adrian Miles,,25,17,29,[DNS],19,15,105,17
GER,8875,Jens Findel,Johannes Tellen,,5,6,3,[DNS],14,DNS,107,18
USA,8953,Augie Diaz,Tommy Fink,,[37],21,28,16,32,20,117,19
USA,8722,Macy Nelson,Parry Barclay,,32,20,24,23,[36],19,118,20
USA,8854,Bruce Mahoney,Paul Allen,,[DNS],10,13,15,DNS,10,127,21
GBR,8974,James Hunt,Neil Fulcher,,13,[DNS],8,DNS,23,5,128,22
CAN,8192,Philip Cragg,Reto Corfu,,[41],23,34,26,28,23,134,23
USA,8558,Angus Brackett,Colin Orsini,,[46],26,38,24,30,25,143,24
AUS,8796,Nicholas Deussen,Jonno Bannister,,14,[DNS],19,19,20,DNS,151,25
GER,8651,Christian Kellner,Martin Schöler,,11,[DNS],17,DNS,24,21,152,26
USA,8987,David Chatham,Jon Bell,,19,14,[DNS],DNS,22,18,152,27
GER,8843,Nicolai Völckner,Lars Derschotte Dehne,,31,18,23,13,[DNS],DNS,164,28
USA,8821,Katherine Long,Stephen Long,,45,24,40,27,[DNS],30,166,29
GER,8747,Martin Kittsteiner,Oliver Stieglitz,,43,25,43,[DNS],39,28,178,30
USA,8808,Evert Meyer,Peter Funke,,50,[DNS],45,21,45,27,188,31
AUS,8840,Kevin Cameron,Matt Bowden,,44,[DNS],32,18,DNS,24,197,32
USA,9009,Bruce Edwards,David Shelton,,26,[DNS],DNS,DNS,10,8,202,33
AUS,8853,Carter Jackson,Peter Holden,,28,[DNS],12,DNS,5,DNS,203,34
USA,8967,Philippe Kahn,Peter Spaulding,,49,[DNS],50,28,46,35,208,35
USA,8824,Jennifer Morgan Glass,Benjamin Glass,,[DNS],DNS,14,DNS,25,12,209,36
AUS,8395,Paul Mitchell,Dale Mitchell,,30,19,25,[DNS],DNS,DNS,232,37
AUS,8794,Michael Babbage,James McAllister,,38,[DNS],21,DNS,16,DNS,233,38
AUS,9022,Ian Burford,David Christie,,47,[DNS],41,DNS,41,29,237,39
GER,8720,Lennart Tasche,Frederik Tasche,,29,[DNS],30,25,DNS,DNS,242,40
USA,8888,Mark Christensen,Arthur Kinsolving,,36,[DNS],31,20,DNS,DNS,245,41
AUS,8890,Malcolm Higgins,Nick Johnston,,4,9,[DNS],DNS,DNS,DNS,250,42
USA,8266,John Gray,David Rasmussen,,57,[DNS],39,DNS,44,33,252,43
AUS,8781,Earle Alexander,Ian Gregg,,21,[DNF],37,DNS,38,DNS,254,44
USA,8970,Robert Tennant,Rich Mundell,,35,[DNS],DNS,DNS,35,26,254,45
USA,8441,Olav Schluter,Michael Renda,,54,[DNS],44,DNS,43,34,254,46
USA,8878,Matt Noble,Bill Erklends,,33,[DNS],42,DNS,DNS,22,255,47
USA,8842,Tom Kassberg,Guy Rittger,,58,[DNS],49,DNS,49,31,266,48
GER,8992,Claas Lehmann,Leon Oehme,,24,[DNS],DNS,DNS,11,DNS,272,49
AUS,8557,Neil Long,Mick Odonnel,,[DNS],DNS,26,14,DNS,DNS,277,50
AUS,8886,Norman Rydge,Jordan Spencer,,27,[DNS],DNS,DNS,DNS,17,281,51
BER,9005,Douglas De Couto,,,48,[DNS],36,DNS,42,DNS,284,52
AUS,8893,Jeffrey Robinson,Bryce Penfold,,53,[DNS],48,DNS,29,DNS,288,53
USA,9004,Douglas Hagan,Rob Woelfel,,42,[DNS],DNS,DNS,15,DNS,294,54
AUS,8817,Nick Davis,Michael Duffield,,[DNS],DNS,33,DNS,26,DNS,296,55
USA,8939,John Wyles,Gareth Fletcher,,59,[DNS],DNS,DNS,47,32,296,56
USA,7062,Peter Scott,Jonny Moseley,,[DNS],DNS,51,DNS,51,36,296,57
USA,8831,Pierre Jeangirard,Paul von Grey,,34,[DNS],DNS,DNS,33,DNS,304,58
AUS,8277,John McLean,Jack McLean,,60,[DNS],DNS,DNS,50,37,305,59
GER,8775,Jan Sell,Wiebke Gewinn,,56,[DNS],46,DNS,48,DNS,308,60
AUS,8783,Sarah Withall,Marcus Cooper,,52,[DNS],DNS,DNS,31,DNS,320,61
AUS,8973,Brett Sharpe,Anthony Gaunt,,[DNS],DNS,DNS,DNS,37,DNS,353,62
USA,7156,Aaron Ross,Rob Waterman,,39,[DNS],DNS,DNS,DNS,DNS,355,63
USA,8017,Derek Campbell,Jon Henderson,,[DNS],DNS,DNS,DNS,40,DNS,356,64
USA,8813,Steve Kleha,Mathias Kennerknecht,,40,[DNS],DNS,DNS,DNS,DNS,356,65
USA,7068,Michael Coe,Russell Miller,,[DNS],DNS,47,DNS,DNS,DNS,363,66
AUS,8968,Matthew Hansen,Anthony Dean,,51,[DNS],DNS,DNS,DNS,DNS,367,67
USA,8245,Charlie Dore,Joe Requa,,[DNF],DNS,52,DNS,DNS,DNS,368,68
FRA,9010,Gilles Carvallo,Jean-Yves Chauleau,,55,[DNS],DNS,DNS,DNS,DNS,371,69
USA,5281,Michael Lazzaro,Mark Lazzaro,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
USA,6307,Ian O'Leary,Chris Burrelson,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
USA,6984,Antoine Laussu,Alexandre Laussu,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
CAN,7099,Christian DeChamplain,Alistair Boyle,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
USA,7201,John Billings,Mike Jue,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
SWE,7453,Louis Wrede,Magnus Ryde,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
GER,8049,Matthias Tellen,Moritz Lüther,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
AUS,8786,Chris Nicholson,Casey Smith,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
AUS,8855,Luke Payne,Marcos Vivian,,[DNS],DNS,DNS,DNS,DNS,DNS,395,70
