Nation,Boat no,Hel,Cre,Club,Race 1,Race 2,Race 3,Points,Place
GER,8957,Wolfgang Hunger,Julien Kleiner,KYC,2,6,1,9,1
GER,8975,Dietrich Scheder-Bieschin,Holger Jess,KYC,1,4,4,9,2
GER,8875,Jens Findel,Johannes Tellen,KYC,3,3,3,9,3
GER,8947,Volker Niediek,Stefan Heising,BSV,4,5,2,11,4
GER,9020,Tim Boger,Markus Schoner,HSC,6,1,5,12,5
GER,8483,Melli Kohlhoff-Hortm,Rainer Gorge,,5,2,7,14,6
GER,8976,Tom Gosch,Rolf Meier,WSCW,7,7,6,20,7
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,10,8,10,28,8
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,8,9,16,33,9
GER,8758,Chr. Meier-Kothe,Ole Raschdorf,KYC,15,10,8,33,10
GER,8317,Hartwig Friederichs,Antje Gosch,WSCW,9,14,12,35,11
GER,8619,Steve Kwee,Thosten Spotter,HSC,17,12,9,38,12
GER,8825,Michael Troch,Eckart Kiinig,SGJ,12,17,11,40,13
GER,8991,Michael Koritz,Horst Sjuts,ZSK,11,18,13,42,14
GER,8720,Lennart Tasche,Frederik Tasche,WSVG,16,16,15,47,15
GER,8741,Jurgen Anton,Ulf Denecke,HSC,18,11,21,50,16
GER,8669,Benedikt Briiggemann,Maxi. Mayrshofer,NRV,13,19,19,51,17
GER,8693,Florian Lautenschlag,Benedikt Schulte,DSCL,22,15,14,51,18
GER,8988,Wolfgang Koehnk,Christopher Opielok,NRV,14,20,20,54,19
GER,8664,Nicholas Melzwig,Michaela Melzwig,,19,13,23,55,20
GER,8775,Jan Sell,Wiebke Gewinn,,21,22,17,60,21
GER,9000,Enno Wilts,Thomas Jung,SVBB,24,21,18,63,22
GER,8998,Jana Schamuhn,Jorg Schamuhn,SVE,23,24,24,71,23
GER,8999,Karsten Stiimpel,Ute Stiimpel,HSC,27,26,22,75,24
GER,8730,Iris Feldmann,Birgit Hartmann,SLUR,28,23,25,76,25
GER,8049,Matthias Tellen,Moritz Luther,RSC,25,25,26,76,26
GER,8675,Christian M011ejans,Karsten Morf,SVSS,20,31 OCS,27,78,27
GER,8500,Matthias Fedde,Sabine Pfisterer,OSG,29,27,28,84,28
GER,8570,Dierk Möller,Britta Knöller,WSCW,26,28,31 DNS,85,29
GER,6685,Katja Kilian,Jens Kiihne,OSG,30,29,29,88,30
