,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Sum,Place
GER,8868,Wolfgang Seifert,Alexander von Mertens,SCLW,1,1,2,1
GER,8658,Christina Höll,Alexander Wilhelm,HSC,5,2,7,2
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,4,3,7,3
GER,8697,Wilfried Stuis,Hans Luinge,YCN,6,5,11,4
GER,8666,Michael Kurzeja,Michael Haug,BYC,8,4,12,5
GER,8861,Jochen Heydolph,Fabian Martyson,SCLW,2,OCS 11,13,6
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,7,6,13,7
GER,8098,Albrecht Maisch,Frank Letsche,SGK,3,DNF 11,14,8
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,9,7,16,9
GER,8777,Francisco Sanguino,Melanie Tschiche,DTYC,DNF 11,DNC 11,22,10
