,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Sum,Platz
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,1,1,2,4,1
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,3,3,1,7,2
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,2,2,4,8,3
GER,8385,Martin Bernauer,Robert Brand,CNFT,5,6,8,19,4
GER,9000,Enno Wilts,Marcus Neuß,SVBB,7,7,5,19,5
GER,8575,Alexander Gensch,Oliver Korittki,SLSV,8,8,6,22,6
GER,8513,Sven Dömges,Johannes Brack,ESV86,DNC 15,4,3,22,7
GER,7764,Bastian Horstmann,Jan Wiechmann,SVBB,9,9,7,25,8
GER,8634,Christoph Pawlowski-Hegermann,Gerrit Haaland,SGaM,6,11,10,27,9
GER,8988,Wolfgang Koehnk,Christopher Opielok,NRV,DNC 15,5,9,29,10
GER,8721,Sophie Heyer,Sebastian Salein,JSC,4,DNC 15,DNC 15,34,11
GER,8500,Christian Henge,Rainer Gieseler,OSG,12,10,DNC 15,37,12
GER,8550,Martha Hauschild,Franzi Manko,SCS,10,DNC 15,DNC 15,40,13
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,11,DNC 15,DNC 15,41,14
