Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points Netto,Place
USA,8965,Andy Beeckman,Peter Alarie,Bristol,2,2,2,1,1,[8],1,9,1
USA,8762,Howard Hamlin,Andrew Zinn,NHYC,1,[11],3,3,2,1,2,12,2
USA,8913,Mike Martin,Jeffrey Nelson,NHYC,3,1,1,2,8,[10],5,20,3
USA,8681,Ryan Cox,Stuart Park,TJSC,[11],6,4,7,4,2,7,30,4
USA,7875,Jeff Miller,Paul Allen,Richmond YC,4,9,[22 DNC],6,3,6,4,32,5
USA,8081,Nick Adamson,Stephen Bourdow,TISC,6,4,6,4,[13],11,13,44,6
USA,8768,Kris Bundy,Fritz Lanzinger,CYC,8,[16],11,9,6,3,8,45,7
USA,8953,Augie Diaz,Luke Lawrence,Coral Reef,7,[10],10,8,5,5,10,45,8
USA,9002,Mike Holt,Shane Illidge,SCYC,[10],7,9,10,7,4,9,46,9
USA,8680,Bruce Edwards,David Shelton,SCYC,5,5,5,5,15,[16],12,47,10
USA,8937,Kevin Taugher,Ben Benjamin,ABYC,9,3,12,[22 DNC],9,12,6,51,11
USA,887*,Edward Conrads,Brian Haines,St. Francis,13,15,8,[22 DNC],14,7,3,60,12
USA,8831,Pierre Jeangirard,Paul von Grey,WNSA,12,8,7,11,10,13,[22 DNC],61,13
USA,8411,Bill Jenkins,Dan Merino,SDYC/MBYC,16,12,13,[22 DNS],11,9,15,76,14
USA,8813,Steve Kleha,Matthias Kennerknecht,SCYC,15,13,14,12,[16],14,14,82,15
USA,8084,Rob Waterman,Aaron Ross,ABYC,14,17,[22 DNC],22 DNC,12,15,11,91,16
USA,7773,Jacob Sorosky,Steven Natvig,CBYC,18,14,[22 DNC],22 DNC,17,19,17,107,17
USA,8904,Hubert Guy,Jon Henderson,ABYC,17,[22 DNC],22 DNC,22 DNC,19,17,16,113,18
USA,8995,Rob Sjostedt,Evan Sjostedt,Corsair,19,[22 DNC],22 DNC,22 DNC,18,18,19,118,19
USA,7201,John Billings,Bill McKinney,MBYC,[22 DNC],22 DNC,22 DNC,22 DNC,20,20,18,124,20
USA,8889,Antoine Laussu,Jake West,PSSA,[22 DNS],22 DNC,22 DNC,22 DNC,21,21,20,128,21
