Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
USA,9002,Mike Holt,Shane Illidge,,1,1,4,1,2,1,,10,1
USA,7875,Jeff Miller,Mike Smith,,2,3,1,2,1,3,,14,2
USA,8813,Steve Kleha,Mathias Kennerknecht,,5,5,6,3,3,2,,24,3
USA,8829,Eben Russell,Pat Diola,,4,6,3,5,6,7,,31,4
USA,8854,Bruce Mahoney,Paul Allen,,10,2,2,6,10,10,,40,5
USA,8888,Mark Christensen,Arthur Kinsolving,,10,4,5,4,10,10,,43,6
USA,7156,Aaron Ross,Greg,,3,7,7,7,10,10,,44,7
USA,7886,Mark,Mike,,6,10,8,8,9,5,,46,8
USA,6983,Zhenya Kirushkin-Stepanoff,Kurt Hemmingsen,,8,9,9,10,8,4,,48,9
USA,7069,Ian O'Leary,Alex,,7,8,10,9,7,8,,49,10
USA,8987,David Chatham,Steve,,10,10,10,10,4,7,,51,11
USA,8822,Chuck,Stephen,,10,10,10,10,5,6,,51,12
USA,8680,Jason,Mark,,10,10,10,10,10,9,,59,13
