Nation,Boat no,Helm,Crew,Boat name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Place
USA,8919,Ted Ferrarone,Doug McKeige,USA 8919,1,1,1,[2],1,1,[4],1,1,7,1
USA,8012,Henry Amthor,Dustin Romey,Amthor Romey,2,2,2,1,[5],2,[5],2,3,14,2
USA,8641,Nicholas Burke,,8641,3,[8],7,16 DNC*,3,5,1,4,2,25,3
USA,8931,Daniel Esdorn,Joerg Esdorn,Duesentrieb,4,4,[9],16 DNC*,4,4,3,6,5,30,4
USA,8939,John Wyles,Gareth Fletcher,Silver Seahorse,[10],5,4,3,7,7,[8],8,6,40,5
USA,8753,Loic Bleuez,Russell Martin,USA 8753,8,7,3,16 DNS*,6,17 DNS*,7,5,7,43,6
USA,8083,Matt Barry,,,17 DNC*,17 DNC*,17 DNC,17 DNC,2,3,2,3,4,48,7
USA,8441,Katrin Deinhardt,Olav Schluter,8441,7,6,8,16 DNC*,[10],6,6,9,9,51,8
GBR,8791,Richard Moakes,Andrew Moakes,,6,9,6,16 DNC*,8,17 DNC*,9,10,10,58,9
USA,8883,Keith Longson,Greth Lester,US8883,9,16 DNC*,10,16 DNC*,9,17 DNS,10,7,8,69,10
USA,8018,Duane Delfosse,Sol Marini,Delfosse Marini,5,3,5,16 DNC,17 DNC*,17 DNC*,17 DNC,17 DNC,17 DNC,80,11
USA,8261,Dino Garbero,Mark Linker,8261,11,16 DNS*,16 DNC,16 DNC,17 DNS*,9,12,11,11,86,12
GBR,8244,Natasha Gladman,Philip Gladman,GBR8244,16 DNF*,16 DNS*,16 DNC,16 DNC,11,8,11,17 DNS,17 DNC,94,13
USA,8951,Christian Rasmussen,Caroline Rasmussen,8951,16 DNC,16 DNC,16 DNC,16 DNC,12,17 DNS*,17 DNS*,17 DNS,17 DNS,110,14
CAN,7198,Carina McCabe,Kevin McCabe,Mirth,16 DNF,16 DNC,16 DNC,16 DNC,17 DNC*,17 DNC*,17 DNC,17 DNC,17 DNC,115,15
USA,8790,Greg Davis,,8790,16 DNC,16 DNC,16 DNC,16 DNC,17 DNC*,17 DNC*,17 DNC,17 DNC,17 DNC,115,16
