Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total Points,Pos
USA,8722,Macy Nelson,,,1,2,1,1,1,3,11/DNC,20.00,1
USA,8629,Jesse Falsone,,,2,5,4,2,5,2,1,21.00,2
USA,8939,John Wyles,,,4,3,3,4,2,6,6,28.00,3
USA,7199,Stergios Papadakis,,,11/DNC,1,2,3,3,5,5,30.00,4
USA,7200,Seamon/Meller,,,5,6,5,11/DNC,4,8,2,41.00,5
USA,8012,Henry Amthor,,,3,4,11/DNC,5,6,7,11/DNC,47.00,6
USA,8261,Mark Linker,,,11/DNC,7,6,6,9,9,7,55.00,7
USA,8441,Katrin Deinhardt,,,11/DNC,11/DNC,11/DNC,11/DNC,8,1,3,56.00,8
USA,8438,Amie Boothe,,,11/DNC,11/DNC,11/DNC,11/DNC,7,4,4,59.00,9
USA,8722*,Bryan Richardson,,,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,10,8,73.00,10
