Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,Boat Name,Total,Nett,Rank
CAN,7197,Iain Torrie,Leith Shenstone,NSC,-7,1,1,3,1,Lawndart,13,6,1
CAN,8264,Jeff Boyd,,KYC,-4,2,3,1,2,Desparate Measures,12,8,2
CAN,8442,Nick,Stephen Adolph,NSC,2,3,2,2,-4,MWF,13,9,3
CAN,8535,Marg Hurley,,NSC,1,-6,5,4,3,,19,13,4
CAN,6910,John Bryant,Ron Hughes,NSC,3,5,7,5,(11 DNC),Toil & Trouble,31,20,5
CAN,8735,Brent Beninger,,NSC,6,4,8,7,(11 DNC),Spaghetti Factory,36,25,6
CAN,8410,Clarrisa Bush,Chris Gillies,NSC,(11 DNC),7,4,6,11 DNC,Bandersnatch,39,28,7
CAN,8910,Alison Janidlo,Tom Janidlo,NSC,8,8,6,(11 DNC),11 DNC,Ag,44,33,8
CAN,7858,Jamers Cruickshank,Marc Lancelet,PNCR,9,9,(11 DNC),8,11 DNC,Salty Solution,48,37,9
CAN,8233,Marie Gendron,,NSC,5,(11 DNC),11 DNC,11 DNC,11 DNC,,49,38,10
