nation,Boat No,Helm,Crew,Club / Pays,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club / Pays,Points,Netto,Place
GER,8728,Martin Görge,Rainer Görge,KYL,8,2,2,1,[12],3,,28,16,1
FRA,8902,Philippe Boite,Fabrice Toupet,C V ST QUENTIN,1,8,12,2,7,[14],C V ST QUENTIN,44,30,2
GBR,9032,Ian Pinnell,Ian Mitchell,HISC,4,[20],9,9,6,2,,50,30,3
GER,8651,Christian Kellner,Klaus Stammerjohann,HSC,6,10,6,10,[14],4,,50,36,4
GBR,9012,Andy Smith,Tim Needham,NOTTS COUNTY SC,2,1,3,28,[31],8,,73,42,5
FRA,8908,Bertrand Loyal,Xavier deTappe,S R ROCHELAISES,14,5,7,11,[19],13,S R ROCHELAISES,69,50,6
SUI,8569,René Betschen,Lionel Hollinger,CNB,12,4,14,5,[21],19,,75,54,7
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,9,6,15,[17],17,9,,73,56,8
GER,8669,Boris Herrmann,Julien Kleiner,ALLEMAGNE,3,7,19,[21],11,21,,82,61,9
GER,8901,Michael Daisenberger,Wolfgang Stückl,ALLEMAGNE,10,14,[29],23,4,10,,90,61,10
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,19,13,13,8,13,[28],DSV-R027,94,66,11
SUI,8543,Cédric Bart,Marti Ueli,CNB,11,12,17,15,[25],12,,92,67,12
FRA,8844,Xavier Broise,Nicolas des Jamonières,H S N P,13,15,[25],25,3,18,S N P H,99,74,13
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,18,19,[38],6,8,23,,112,74,14
SUI,8613,Gilles Petermann,Laurent Grob,BT,25,11,1,7,[42],31,,117,75,15
GER,8990,Frieder Achterberg,Arne Lanatowitz,DTYC,5,9,[34],32,18,11,,109,75,16
FIN,8768,Jukka Nieminen,Tuomas Laurila,SP,21,17,16,24,[50],1,,129,79,17
GER,8989,Andréas Jungclaus,Axel Priegann,HSC,16,16,4,[48],37,6,,127,79,18
FRA,8820,Serge Gubri,Thibault Di Pède,C V SEINE-PORT,20,[34],20,16,24,5,C V SEINE-PORT,119,85,19
FRA,8752,Nicolas Martin,Julien Lafortune,SEINE-PORT C V,[36],28,21,22,1,17,C V SEINE-PORT,125,89,20
FRA,7941,Véronique Brenet,Jean-Pierre Peter,AC ALSACE LORRAINE,[DNF],31,11,26,5,16,AC ALSACE LORRAINE,161,89,21
FRA,8683,Antoine Lafortune,Geraud Lafortune,C V SEINE-PORT,22,23,5,[41],23,20,C V SEINE-PORT,134,93,22
FIN,8466,Sampsa Hyysalo,Antti Salonen,HSK,15,18,22,27,16,[34],,132,98,23
GER,8777,Stefan Schollmayer,Franscisco Sanguino-Petersen,SCMSP,29,26,[45],13,2,33,,148,103,24
ITA,8916,Enrico Ciferri,Gabriele Natali,US QUARTO,32,24,10,12,26,[41],,145,104,25
FRA,8515,Nicolas Croce,Florian Faucheux,C N CANET PERPIGNAN,26,22,26,30,[39],7,C N CANET PERPIGNAN,150,111,26
GER,9028,Stefan Köchlin,Andréas Achterberg,SVS,7,3,30,3,[DNF],DNC,,187,115,27
FRA,9024,Claude Gachet,Kleber Valery,Y C Grenoble Chara,27,[44],23,29,32,15,Y C Grenoble Chara,170,126,28
FRA,8509,Robert Ronnback,Jordane Lafortune,FRANCE,[48],41,8,34,10,36,C V SEINE-PORT,177,129,29
FRA,8950,Hervé de Kergariou,Basile Géron,CN ARRADON,47,[DNF],27,4,20,32,S N P H,202,130,30
GER,8672,Karsten Contag,Guido von Walter,SCLW,[38],30,36,31,9,24,,168,130,31
FRA,8895,Matthieu Devaux,Philippe Dubuc,S R FECAMP,28,25,24,33,30,[37],S R FECAMP,177,140,32
FRA,8870,Christian Silvestre,Nicolas Auberger,C V ST QUENTIN,34,[42],32,19,35,30,Y C Grenoble Chara,192,150,33
FRA,8899,François de Lisle,Hervé Brillaud,C N FERRET,35,35,35,14,34,[53],C N FERRET,206,153,34
GER,9029,Jürgen Waldheim,Thomas Jung,PYC,24,[DNF],40,37,29,27,,229,157,35
BEL,8486,Pascal Viaud,Jourquin Koen,S R ROCHELAISES,42,[---],33,18,27,38,,230,158,36
FIN,8320,Kaj Lindfors,Tatu Miettinen,FINLANDE,17,[DNF],18,43,44,39,,233,161,37
FRA,8402,Morgan Aussel,Frederic Roucayrol,Y C ANTIBES,40,[DNF],28,20,43,35,Y C BEAULIEU,238,166,38
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,23,21,[52],46,45,44,,231,179,39
FRA,8847,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,37,37,43,[59],40,26,C N HAUTE SEINE,242,183,40
