,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,Sum,Points,Platz
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,[11],1,1,1,14,3,1
GER,8625,Alex Cross,Falko Braun,SCR,1,[8],4,2,15,7,2
FRA,7940,Francis Doerenbecher,Philippe Wolff,CNS,[8],3,2,3,16,8,3
GER,8327,Dirk Frank,Stefan Kempf,SCS,4,[13],3,5,25,12,4
FRA,8484,Philippe Blanchard,Julien Beltzung,ACAL,2,11,5,6,24,24,5
FRA,9010,Bastian Le Morvab,Gilles Carvallo,,5,4,7,[DNC 17],16,16,6
BEL,8688,Bernard Blondy,Jean-Pierre Noclain,CVA,[9],5,6,7,27,18,7
GER,8424,Michael Becker,Florian Hassdenteufel,SCNS,3,7,[11],9,30,19,8
FRA,8770,Jean-Marc Noclain,Roger Chabaud,CVA,[DNC 17],2,9,12,40,23,9
BEL,8880,Geert De Pauw,Koen Jourquin,NWVN,10,9,[OCS 17],4,40,23,10
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,6,10,8,[11],35,24,11
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,[13],6,12,10,41,28,12
GER,8751,Andreas Roller,Maximilian Roller,Hei SC,7,12,[OCS 17],DNC 17,53,19,13
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,SCNS,12,14,13,[DNC 17],56,39,14
FRA,0,Paul Bendiyan,Georges Bendiyan,ASCL,14,16,10,[DNC 17],57,40,15
FRA,8850,Gregor Jaecky,Romaric Roussie,,[15],15,14,13,57,42,16
