,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,Platz
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,3,3,1,7,1
GER,8608,Bernd Rasenack,Peter Wichtrap,ZSK,5,4,2,11,2
GER,8991,Stefan Schmidt,Horst Sjuts,SVSS,1,6,7,14,3
GER,8929,Jürgen Waldheim,Thomas Jung,PYC,10,2,4,16,4
GER,8433,Jürgen Anton,Ulf Denecke,HSC,9,5,3,17,5
GER,8619,Steve Kwee,Thorsten Spötter,HSC,6,8,6,20,6
GER,8874,Norbert Dasenbrook,Sven Meier,KSW,8,9,5,22,7
GER,8947,Volker Niedik,Stefan Heising,BSV,2,1,DNF 25,28,8
GER,8744,Lutz Kandzia,Martin Deutscher,ASV,7,12,11,30,9
GER,7035,Michael Köritz,Christina Burger,USCO,11,16,8,35,10
GER,8528,Andre Tirre,Frank Wille,YCS,16,10,9,35,11
GER,8988,Wolfgang Köhnk,Christopher Opielok,NRV,4,13,20,37,12
GER,8693,Florian Lautenschläger,Benedikt Schulte,DTYC,14,14,10,38,13
GER,8480,Marc Köster,Christoph Köster,BSV-AT,20,11,17,48,14
GER,8999,Karsten Stümpel,Jens Hufnagel,HSC,12,21,16,49,15
GER,8297,Mario Tirre,Henry Stoffers,SCZ,21,15,14,50,16
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,13,DNF 25,12,50,17
GER,8932,Christian Henge,Matthias Fedde,OSG,17,22,13,52,18
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,15,19,19,53,19
GER,8482,Christian Lempp,Birgit Hartmann,HSC,22,17,15,54,20
GER,8664,Nicholas Melzwig,Michaela Melzwig,LRV,18,20,18,56,21
GER,8843,Nicolai Völckner,Lars Dehne,HSC,DNF 25,7,DNF 25,57,22
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,19,18,DNF 25,62,23
GER,8500,Katja Henge,Jens Kühne,OSG,23,23,DNC 25,71,24
