Nation,Sailingnumber,Skipper,Crew Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Helm Year,Crew Year,Points,Pos.
GER,9027,Dr.Wolfgang Hunger,Julien Kleiner,,1,1,2,8,-24,4,3,(1960) PYC,(1981) KYC / ZSK,19,1
DEN,8964,Jan Saugmann,Morten Ramsbæk,,6,6,1,2,4,1,-7,(1967) KDY,(1966) FAS,20,2
GER,9040,Meike Schomäker,Holger Jess,,8,3,3,5,-10,2,1,(1985) ZSK/KYC,(1963) KYC,22,3
DEN,8962,Jacob Bojsen-Møller,Jørgen Bojsen-Møller,,5,4,15,1,-28,3,5,(1956) HS,(1954) HS,33,4
GER,8728,Goerge Martin,Goerge Rainer,,3,12,8,3,-15,5,2,(1966) KYC,(1966) SYC,33,5
GER,8669,Florian Kemper,Michael Krause,,-31,7,16,4,5,6,11,(1983) NRV,(1982) KYC,49,6
FRA,8902,Philippe Boite,Fabrice Toupet,,12,15,-18,7,2,10,4,(1962) c.v.s.q,(1963) c.v.s.q.,50,7
GER,9028,Stefan Köchlin,Andreas Achterberg,,2,21,4,9,-32,12,6,(1963) SVS,(1969) DTYC,54,8
DEN,9023,Tom Bøjland,Anders Friis,,-23,5,11,13,8,8,9,(1963) SKS,(1970) BS,54,9
GER,8651,Christian Kellner,Martin Schoeler,,9,8,7,-43,17,7,15,(1967) HSC,(1973) DYC,63,10
GER,8992,Claas Lehmann,Leon Oehme,,7,13,6,15,14,-16,10,(1966) NRV,(1985) KYC / LYC,65,11
GER,9035,Stefan Böhm,Roos Gerald,,4,14,5,17,-21,15,13,(1962) SCV e.V.,(1967) RCR e.V.,68,12
GER,8927,Jörg Häger,Heini Rix,,16,-24,13,12,19,9,8,(1962) TSVS,(1968) TSVS,77,13
GER,8947,Volker Niediek,Stefan Heising,,17,9,10,19,12,11,-20,(1963) BSV,(1963) BSV,78,14
GER,8929,Tom Gosch,Rolf Meyer,,20,11,12,-21,3,18,18,(1959) WSCW,(1957) SCED,82,15
GER,8901,Sophie Söllner,Wolfgang Stückl,,19,10,-23,20,7,17,14,(1983) CYC/DTYC,(1967) DTYC,87,16
FRA,8844,Xavier Broise,Nicolas Des Jamonières,,15,18,21,22,1,22,-22,(1985) SNPH,(1964) SNPH,99,17
GER,9020,Tim Böger,Markus Schöner,,14,26,9,18,-41,21,19,(1963) HSC,(1968) HSC,107,18
GER,8874,Nørbert Dasenbrook,Sven Meier,,30,19,17,6,-35,14,28,(1965) KSW/SKBue,(1959) SKBue,114,19
GBR,8974,Nicola Birkner,Angela Stenger,,28,2,22,14,27,-34,23,(1969) VSaW,(1966) MYC,116,20
GER,8849,Moritz Bohnenberger,Frank Weiglet,,26,16,14,-33,11,25,24,(1990) DTYC,(1967) DTYC,116,21
GER,8875,Jens Findel,Eike Dietrich,,13,20,29,29,-36,13,12,(1981) KYC,(1981) WSCW,116,22
GER,8777,Andreas Jungclaus,Axel Priegann,,11,22,20,31,-31,24,17,(1964) HSC,(1968) SGJ,125,23
GER,9026,Hasso Dr.Plattner,Peter Alarie,,10,27,24,-36,23,29,21,(1944) KYC,(1966) BYC,134,24
GER,9029,Jürgen Waldheim,Thomas Jung,,21,29,19,10,40,-40,25,(1958) PYC/YCLa,(1970) WCSW,144,25
DEN,8828,Jon Andersen,Lasse B. Andersen,,18,30,27,-40,26,32,16,(1975) Kalundborg,(1973) Kalundborg,149,26
GER,8775,Jan Sell,Wiebke Gewinn,,25,23,26,-32,22,23,31,(1974) SVWS,(1981) SVWS,150,27
DEN,8958,Nikolaj Hoffmann Buhl,Henrik Buhl,,22,28,(57.00)DNC,30,34,19,30,(1992) Sletten,(1966) Sletten Bådeklub,163,28
GER,8750,Gunter Peters,Steffen Achenbach,,29,31,25,27,-39,28,27,(1954) EnSfr.,(1968) WYC2,167,29
GER,8657,Georg Neulen,Peter Gerdts,,-41,33,37,26,9,38,29,(1963) WYCA,(1963) WYCA,172,30
GER,8317,Hartwig Friedrichs,Martin Bernauer,,33,25,31,24,-45,27,32,(1960) CNFT,(1958) CNFT,172,31
FRA,8895,Matthieu Devaux,Elsa le Formal,,24,17,30,42,6,57.00DNC,(57.00)DNC,(1969) SRF,(1973) SNPH,176,32
GER,8665,Thomas Tschentscher,Jerome Gaudin,,36,37,33,16,29,33,-41,(1964) HSV,(1976) ASC-TU,184,33
GER,8686,Christian Niefert,Sven Dömges,,35,35,36,-38,16,26,37,(1980) BSV`79,(1977) BSV`79,185,34
GER,8563,Klaus Heeschen,Stefan Schmidt,,27,34,28,28,-46,35,33,(1967) tsvs,(1966) tsvs,185,35
GER,8483,Melanie Kohlhoff-Horstmann,Peter Kohlhoff,,57.00DNC,57.00DNC,(57.00)DNC,11,18,20,26,(1973) KYC,(1967) KYC,189,36
GER,8741,Jürgen Anton,Ulf Denecke,,-39,32,32,34,38,37,35,(1963) HSC,(1963) HSC,208,37
GER,9021,Georg Dr. Geyer,Caludia Conrads,,45,41,48,-51,13,30,36,(1961) SGE/WSGR,(1966) WSGR,213,38
FRA,8948,Nicolas Guillou,Alain Ferec,,34,36,34,23,37,57.00DNC,(57.00)DNC,(1971) SNPH,(1971) SNPH,221,39
GER,8999,Karsten Stümpel,Ute Stümpel,,40,39,35,44,25,42,-45,(1966) HSC,(1967) Lol,225,40
GER,8932,Christian Henge,Matthias Fedde,,38,44,41,25,44,-44,38,(1970) OSG,(1970) OSG,230,41
GER,8972,Ronald Roos,Maren Roos,,43,42,43,37,-49,31,34,(1964) SVWu,(1997) SVWu,230,42
GER,9000,Enno Wilts,Jan Wiechmann,,32,38,39,47,-48,43,39,(1954) HA080,(1982) MV052,238,43
GER,8609,Jörn Wille,Martin Bergmann,,(57.00)DNC,45,45,39,30,39,42,(1965) MSC,(1967) MSC,240,44
FRA,8980,Michel Boiry,Jean Claude Ancelot,,37,40,42,-46,43,36,44,(1942) C.N.Antibe,(1944) S.N.O. Nantes,242,45
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,,47,47,47,-53,20,47,47,(1940) YCSb,(1956) SCBo,255,46
SWE,8912,Knut Hastenpflug,Toni Hastenpflug,,42,46,38,49,(57.00)RAF,45,46,(1963) SSÅV,(1988) SSÅV,266,47
GER,7861,Katharina Menge,Henning Ries,,48,43,40,41,50,50,-51,(1974) OSG,(1972) TSVS,272,48
GER,6817,Ralf Schneidewind,Martin Lietz,,57.00DNC,57.00DNC,(57.00)DNC,45,33,41,40,(1964) SLRV,(1963) SLRV,273,49
GER,8730,Iris Feldmann,Birgit Hartmann,,44,48,44,48,-53,48,43,(1970) SLRV,(1970) SGJ,275,50
GER,8437,Henning Steffen,Tilman Giesen,,46,51,(57.00)DSQ(1),35,52,51,48,(1964) SLRV,(1968) YCRM,283,51
GER,8500,Jens Kühne,Katja Henge,,50,50,49,50,-51,46,49,(1972) OSG,(1977) OSG,294,52
GER,8622,Hilmer Goedeking,Dr. Michael Schöfer,,49,53,(57.00)DNF,52,42,52,50,(1958) WSV-L,(1957) WSV-L,298,53
GER,8697,Wilfried W. Stuis,Pia Matscheroth-Brodwurm,,51,52,57.00DSQ(1),(57.00)DNC,47,49,52,(1950) YCN,(1978) YCF,308,54
GER,8392,Konrad Barop,Christina Burger,,57.00DNC,49,46,57.00DNC,57.00DNC,57.00DNC,(57.00)DNC,(1960) NSV,(1987) KSW,323,55
GER,8843,Nicolai Völkner,Lars Dehne,,57.00DNC,57.00DNC,57.00DNC,57.00DNC,57.00DNC,57.00DNC,(57.00)DNC,(1973) SVH,(1974) SVH,342,56
