,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,8825,Michael Troch,Eckart König,SGJ,1,4,3,1,3,1,,1
GER,8563,Stefan Schmidt,Hartwig Friedrichs,SVSS,3,1,2,OCS,1,2,,2
GER,8741,Jürgen Anton,Ulf Denecke,HSC,2,2,1,4,2,3,,3
GER,8619,Steve Kwee,Bruno Laudage,HSC,8,3,4,OCS,6,4,,4
GER,8744,Lutz Kandzia,Armin Splisteaser,ASV,5,7,7,3,5,DNC,,5
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,6,6,8,6,7,5,,6
GER,8730,Iris Anton,Birgit Hartmann,HSC,7,8,6,5,8,7,,7
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,12,DNC,11,2,4,6,,8
GER,6768,Markus Hintz,John Christiansen,HSC,9,10,12,9,9,9,,9
GER,8664,Nicholas Melzwig,Alexander Hoesen,LRV,DNC,9,10,8,15,8,,10
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,4,5,5,DNC,DNC,DNC,,11
GER,8482,Christian Lempp,Milan Plogsties,HSC,DNC,12,9,10,10,DNC,,12
GER,8387,Thomas Maxeiner,Jan Halske,SVNO,13,11,DNC,14,12,12,,13
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,10,DNC,DNC,7,11,DNC,,14
GER,8670,Theo Kohl,Birgit Kohl,WWSC 70,DNC,DNC,DNC,11,13,10,,15
GER,7760,Eike Frahseck,Tammo Barfuß,,DNC,DNC,DNF,13,14,11,,16
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,11,DNF,DNC,DNC,DNC,DNC,,17
GER,8495,Iris Ruhnau,Hein Peters,,DNC,DNC,DNC,12,DNC,DNC,,18
