Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Boat,Total,Nett,Rank
RSA,8481,Peter Funke,Thomas Funke,PSC,2,1,2,1,(5.0),2,(OCS),3,1,2,2,1,GUS,39,17,1
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,1,2,(3.0),(3.0),2,1,1,1,3,1,3,3,BRT,24,18,2
RSA,8520,Rudolph Holm,Ferdie Holm,PSC,3,(DNF),(4.0),2,1,3,2,4,2,3,1,2,Geelslang,44,23,3
RSA,8406,Ricky Robinson,Brennan Robinson,BYC,(DNF),6,1,(9.0),3,9,3,2,4,5,4,5,,68,42,4
RSA,8091,Stephan Kuhn,Dudley Isaacs,KYC,(DNF),7,7,6,(11.0),6,5,7,6,4,7,4,,87,59,5
RSA,8471,Alexander Ham,Warwick Ham,PSC,(DNF),8,11,10,4,4,9,(12.0),5,6,6,6,Pink Something,98,69,6
RSA,7493,Mark Biagio,Scott Quarmby,PSC,(DNF),5,9,7,10,10,6,9,7,7,5,(DNC),,109,75,7
RSA,8707,Albrecht Holm,Willie Buhrmann,PSC,(DNF),9,6,8,9,8,8,8,10,8,8,(DNC),Aitsa,116,82,8
RSA,7608,Jay D'Engle,Andrew Tarboton,PYC,4,4,8,4,7,7,7,10,(DNC),(DNC),DNC,DNC,,119,85,9
RSA,8*,Hans Rogotzki,Peter Roos/Tristan Rogotzki,LDYC,(DNC),3,5,5,6,(DNC),10,6,8,10,DNC,DNC,Flying Freddie,121,87,10
RSA,8537,Steve Hegestrom,Alan Haylett,PYC,(DNC),(DNF),10,11,8,5,4,5,9,9,DNC,DNC,Two Dogs Funking,129,95,11
RSA,6707,Tim Gibbons,Julian Wertheim Aymes,BSC,(DNC),(DNC),DNC,13,13,OCS,11,11,12,11,9,DNC,Coastal Flyer,165,131,12
RSA,8584,James McWha,Andrew Arthur,PSC,(DNF),(DNC),12,12,12,11,13,14,11,12,DNC,DNC,Blood Sweat & Beers,165,131,13
RSA,4437,Grant Ballantyne,Eddie Forster,VYC,(DNF),(DNC),13,14,DNF,DNC,12,13,DNC,DNC,DNC,DNC,,188,154,14
RSA,6211,James Hogg,Ian Hogg,PYC,(DNF),(DNC),DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,Great White,204,170,DNA
RSA,8121,Justin Templeton,Kobus Holtzhausen,BYC,(DNF),(DNC),DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,Laat Waai,204,170,DNA
