Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
USA,9002,Mike Holt,Carl Smit,,3,1,1,1,1,,7,7,1
USA,8762,Howie Hamlin,Andy Zinn,,1,3,2,3,2,,11,11,2
USA,8714,Mike Martin,Paul Allen,,2,2,3,2,3,,12,12,3
USA,7875,Jeff Miller,Pat Diola,,5,4,4,4,4,,21,21,4
USA,8808,Augie Diaz,Parry Barclay,,4,6,5,6,5,,26,26,5
USA,7156,Aaron Ross,Rob Waterman,,6,5,6,5,11 DNF,,33,33,6
USA,8680,Jason Birght,Mark Dowdy,,8,8,7,11 DNS,6,,40,40,7
USA,8970,Bob Tennant,Rich Mundell,,11 DNF,7,11 DNF,11 DNF,7,,47,47,8
USA,7069,Ian O'Leary,Mark Willy,,7,11 DNF,11 DNS,11 DNS,11 DNF,,51,51,9
USA,7093,Chuck Fulmer,Steve Guy,,11 DNS,11 DNS,8,11 DNF,11 DNS,,52,52,10
