Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total Points,Pos
USA,8913,Tyler Moore,,,1,1,1,1,1,1,1,7.00,1
USA,8722,Macy Nelson,,,2,2,2,3,4,4,5,22.00,2
USA,8830,Ramsay Key,,,4,3,5,2,2,5,4,25.00,3
USA,7606,Brendan Connell,,,5,4,3,4,5,3,3,27.00,4
USA,7200,Ali Meller,,,11/DNC,11/NoFin,11/DNC,11/NoFin,3,2,2,51.00,5
USA,8850,Doug Watson,,,3,6,4,5,11/DNC,11/DNC,11/DNC,51.00,6
USA,8722*,Michael Renda,,,7,7,8,11/DNC,6,7,6,52.00,7
USA,7199,Stergios Papadakis,,,6,5,6,6,11/DNC,11/DNC,11/DNC,56.00,8
USA,8722*,Bryan Richardson,,,11/DNC,11/NoFin,11/NoFin,11/NoFin,7,6,11/DNC,68.00,9
USA,8790,Erika Seamon,,,11/DNC,11/NoFin,7,7,11/DNC,11/DNC,11/DNC,69.00,10
