,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,4,1,19,3,7,1,,1
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,6,2,1,6,6,DNC,,2
GBR,9032,Ian Pinnell,Ian Mitchell,GWSC,2,6,7,13,29,6,,3
DEN,9023,Tom Bøjland,Anders Friis,Farum,10,11,5,4,27,4,,4
USA,8762,Howie Hamlin,Andrew Zinn,,1,5,17,2,10,25,,5
AUS,8886,Michael Quirk,Simon Reffold,MHYC,5,13,15,10,2,DNC,,6
GER,8721,Sophie Heyer,Sebastian Salein,JSC,12,23,14,16,3,3,,7
GER,8992,Claas Lehmann,Leon Oehme,NRV,13,7,43,7,8,13,,8
USA,8808,Augie Diaz,Tommy Fink,,8,12,9,12,15,11,,9
USA,8878,Edward Conrads,Brian Haines,,36,33,2,19,20,2,,10
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,16,18,6,20,14,19,,11
DEN,9025,Per Larsen,Bent Lundsager,Farum,36,33,2,19,20,2,,12
AUS,8801,Peter Chappell,Ian Davidson,,22,DNC,12,25,9,9,,13
RSA,8481,Peter Funke,Thomas Funke,T YC,24,19,38,11,17,7,,14
USA,7875,Jeff Miller,Mike Smith,,11,10,10,37,38,10,,15
AUS,8921,Nigel Lott,Robert Franks,RQYS,23,20,8,15,32,14,,16
RSA,8520,Rudolph Holm,Ferdinand Holm,PSC,19,21,30,18,16,12,,17
USA,8722,Macy Nelson,Parry Barclay,WRSC,15,14,26,8,36,40,,18
DEN,8828,Jon Andersen,Lasse B. Andersen,Reers,18,22,22,22,33,18,,19
GER,9026,Hasso Plattner,Peter Alarie,KYC,21,16,20,26,46,28,,20
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,,30,27,27,23,5,DNC,,21
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,32,30,13,17,25,27,,22
AUS,8781,Earle Alexander,Ian Gregg,RQYS,25,17,35,29,11,49,,23
FRA,8515,Nicolas Croce,Florian Facheux,,28,24,29,24,26,41,,24
FRA,9024,Kleber Valery,Claude Gachet,YCG,35,32,51,DSQ,4,16,,25
DEN,8958,Nikolaj Buhl,Henrik Buhl,,26,15,11,34,62,DNC,,26
GBR,9012,Andrew Smith,Tim Needham,,DNC,DNC,21,9,18,21,,27
RSA,8707,Albrecht Holm,Willem Buhrmann,PSC,47,38,41,31,12,45,,28
FIN,8678,Eino Laitinen,Thomas Castren,HSS,31,28,55,28,47,36,,29
AUS,8840,Kevin Cameron,Matt Bowden,,17,DNC,18,DNC,28,26,,30
DEN,9038,Kim Christensen,Søren Overbeck,,DNC,DNC,23,14,34,22,,31
GER,9027,Wolfgang Hunger,Julien Kleiner,PYC,7,3,DNC,1,DNC,DNC,,32
GER,9040,Meike Schomäker,Holger Jess,ZSK,3,4,4,DNC,DNC,DNC,,33
RSA,8471,Alexander Ham,Warwick Ham,,41,36,34,35,56,34,,34
GER,8563,Klaus Heeschen,Stefan Schmidt,WSCW,29,26,54,40,50,39,,35
GER,8875,Jens Findel,Johannes Tellen,KYC,9,8,3,DNC,DNC,DNC,,36
FIN,7784,Thomas Held,Timo Vennonen,,33,DNC,40,41,44,31,,37
FIN,8180,Kira Maisniemi,Mikko Tähtinen,HSK,40,31,37,42,43,43,,38
FRA,9010,Gilles Carvallo,Julien Letissier,CNHS,43,40,39,27,59,44,,39
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,38,DNC,25,48,51,32,,40
SUI,8077,Catherine Houriet,Gilles Donze,,52,39,32,44,31,DNC,,41
GBR,8701,Rob Napier,Francis Cram,HoL,DNC,DNC,36,38,13,33,,42
GBR,9013,Tudor Owen,Toby Winchester,,20,25,33,DNC,49,DNC,,43
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,DNC,DNC,16,DNC,23,8,,44
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,,34,34,63,52,48,48,,45
FRA,8623,Matthieu Gougeon,Dominique Rouanne,,46,DNC,49,45,52,29,,46
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,39,34,63,52,48,48,,47
AUS,8710,Robert Bath,Brett Bowden,,42,42,60,53,60,37,,48
GER,8500,Jens Kühne,Katja Henge,OSG,51,DNC,48,46,41,50,,49
GER,9021,Georg Geyer,Claudia Conrads,,48,43,47,43,57,55,,50
USA,8931,Daniel Esdorn,Joerg Esdorn,,27,DNC,DNC,DNC,30,23,,51
AUS,8637,Sam Cronin,Kevin Whitbread,,45,40,61,49,61,53,,52
GER,8470,Oliver Schürmann,Frauke Schürmann,WYCA,49,DNC,62,47,45,46,,53
SWE,7667,Sven Flood,Niclas Ericsson,,50,44,64,51,64,42,,54
