,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Race 13,,,Platz
GER,9070,Meike Schomäker,Holger Jess,ZSK,18,5,3,11,3,13,1,7,4,2,2,6,,,,1
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,5,3,11,2,1,1,4,1,13,6,14,,,,,2
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,2,14,5,3,6,6,16,1,3,1,8,,,,,3
GER,9026,Morten Bogacki,Christian Meier-Kothe,DYC,1,24,1,8,8,2,19,4,1,5,1,,,,,4
GER,8875,Jens Findel,Johannes Tellen,KYC,3,13,5,2,2,16,3,11,10,3,18,,,,,5
GER,9059,Sophie Heyer,Sebastian Salein,JSC,8,21,1,9,4,6,10,7,16,10,2,,,,,6
GBR,9032,Ian Pinnel,Ian Mitchell,,7,10,18,9,5,9,20,9,6,5,3,,,,,7
DEN,9023,Tom Bøjland,Anders Friis,Farum,4,19,13,7,23,2,DNC,10,15,1,7,28,,,,8
GER,9028,Stefan Köchlin,Andreas Achterberg,SKF,10,2,6,12,5,19,24,17,9,20,22,,,,,9
GER,8927,Ulf Pleßmann,Hans-Heinrich Rix,AYC,20,10,21,22,13,4,3,7,19,19,17,,,,,10
HKG,9055,Mark Thornburrow,Laurence Mead,,6,28,4,4,7,3,19,28,22,17,19,,,,,11
USA,9002,Mike Holt,Carl Smit,,8,20,13,22,18,15,17,5,20,12,7,DNC,,,,12
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,31,9,16,17,17,17,10,18,32,9,5,,,,,13
GER,9035,Stefan Böhm,Gerald Roos,SCV,24,4,9,42,21,31,20,9,11,DNC,2,14,,,,14
GBR,9057,Chris Lewns,Fenton Parsons,,13,22,24,24,4,20,8,25,26,4,17,,,,,15
GER,8849,Moritz Bohnenberger,Andreas Linder,DTYC,12,18,22,25,39,10,29,13,8,13,10,,,,,16
AUS,8957,Kevin Cameron,Bob Franks,,32,15,35,16,18,24,8,2,8,8,35,,,,,17
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,9,29,15,15,25,25,23,5,14,16,26,,,,,18
GER,8651,Christian Kellner,Martin Schöler,HSC,27,1,29,16,32,12,27,6,17,24,13,,,,,19
BEL,9066,Augie Diaz,Koen Jourquin,,14,8,8,42,21,35,8,10,22,6,30,,,,,20
