Land,Segel_Nr,Steuermann,Vorsch.,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Pointes,Rang
GER,8929,Paul Meyer,Rolf Meyer,,-4,1,1,1,2,5,1
GER,8806,Lutz Stengel,Frank Feller,,1,2,2,-4,1,6,2
GER,8989,Andreas Jungclaus,Arne Lanatowitz,,2,6,-8,2,4,14,3
GER,8720,Lennart Tasche,Frederik Tasche,,(DNF),5,3,3,3,14,4
GER,8741,Jürgen Anton,Ulf Denecke,,3,3,4,5,(DNF),15,5
GER,8874,Norbert Dasenbrook,Sven Meier,,5,4,5,6,-10,20,6
GER,8619,Steve Kwee,Thorsten Spötter,,7,-11,7,9,7,30,7
GER,8550,Martha Hauschild,Michael Heyder,,9,8,-11,8,8,33,8
GER,9015,Bastian Horstmann,Jan Wiechmann,,8,-12,10,10,6,34,9
GER,8932,Christian Henge,Matthias Fedde,,(DNF),9,9,7,9,34,10
GER,9046,Hartwig Friederichs,Malte Hilbig,,(DNC),7,13,14,5,39,11
GER,7861,Katharina Menge,Henning Ries,,10,-13,12,11,12,45,12
GER,8744,Lutz Kandzia,Armin Splisteaser,,(DNF),10,6,13,DNS,49,13
GER,8500,Jens Kühne,Katja Henge,,(DNF),14,14,12,11,51,14
GER,8999,Karsten Stümpel,Klaus Heschen,,6,15,(DNS),DNS,DNS,61,15
GER,8531,Anna Hauschild,Maxi Kempermann,,(DNC),16,15,15,DNS,66,16
GER,8437,Henning Steffen,Tilmann Dr. Giesen,,(DNC),DNC,DNS,DNC,DNS,80,17
GER,8775,Jan Sell,Wiebke Gewinn,,(DNC),DNC,DNS,DNC,DNS,80,17
GER,8956,Bernd Rasenack,Axel Priegann,,(DNC),DNC,DNS,DNC,DNS,80,17
