,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,Platz
GER,9046,Hartwig Friedrichs,Birgit Hartmann,WSCW,BFD,2,10,1,1,1,,,1
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,1,1,4,BFD,3,6,,,2
GER,8825,Michael Troch,Eckart König,SGJ,4,3,6,4,2,2,,,3
GER,9054,Nicolai Völckner,Lars Dehne,HSC,7,4,2,3,BFD,5,,,4
GER,9015,Bastian Horstmann,Jan Wiechmann,SVBB,6,DNF,8,2,4,3,,,5
GER,8657,Georg Neulen,Peter Gerdts,WYCA,3,5,5,12,8,4,,,6
GER,8988,Oliver Thies,Alena-Larissa Wilkens,,2,7,1,9,9,8,,,7
GER,8741,Jürgen Anton,Ulf Denecke,HSC,5,9,3,7,BFD,9,,,8
GER,8619,Steve Kwee,Thorsten Spötter,HSC,BFD,6,11,5,6,7,,,9
GER,8538,Jan Peckolt,Simon Zimmermann,YCL,8,8,12,11,5,10,,,10
GER,7219,Matthias Dachs,Jörn Alberts,HSC,12,11,14,8,10,11,,,11
GER,8437,Henning Steffen,Tilman Giesen,SLRV,14,12,7,10,12,14,,,12
GER,8550,Martha Hauschild,Franzi Manko,SCS,9,14,16,14,14,13,,,13
GER,8730,Iris Anton,Arne Lanatowitz,HSC,BFD,10,13,16,11,15,,,14
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,11,16,19,15,13,12,,,15
GER,8482,Christian Lempp,Max Rauner,HSC,10,15,15,17,16,19,,,16
GER,7861,Katharina Menge,Doreen Jaeschke,OSG,16,13,9,18,20,24,,,17
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,13,17,18,13,19,17,,,18
GER,8495,Iris Ruhnau,Hein Peters,,BFD,18,17,23,7,18,,,19
GER,8744,Lutz Kandzia,Armin Splisteaser,ASV,BFD,BFD,20,6,15,16,,,20
GER,8051,Andreas Lucko,Jan Koop,HSC,15,20,21,20,17,20,,,21
GER,6768,John Christensen,Markus Hintz,HSC,17,19,22,22,21,23,,,22
GER,7760,Eike Frahseck,Sebastian Eberling,,BFD,21,23,21,22,22,,,23
GER,8317,Christina Burger,Helge Wendt,SVO,DNF,DNC,BFD,19,18,21,,,24
GER,8387,Thomas Maxeiner,Ulf Singhofen,SVNO,18,DNF,24,DNC,DNC,DNC,,,25
