,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,Platz
GER,8972,Ronald Roos,Morten Roos,SVWu,1,2,1,5,2,7,2,,1
FRA,8870,Christian Silvestre,Nicolas Auberger,CVB,7,1,4,2,OCS,3,1,,2
FRA,8909,Francis Doerenbecher,Philippe Wolff,CNS,2,8,8,3,3,1,4,,3
FRA,8716,Aline Martin,Valentin Dechauffour,,3,4,3,1,7,4,9,,4
FRA,8484,Philippe Blanchard,Florent Duplouy,ACAL,4,6,5,4,8,5,6,,5
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,12,9,6,11,1,2,3,,6
BEL,9066,Geert de Pauw,Koen Jourquin,NWVN,5,7,2,10,6,14,7,,7
SUI,9060,Catherine Houriet,Gilles Donze,,13,3,11,6,5,8,5,,8
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,11,5,9,7,4,6,13,,9
GER,8530,Alexander von Mertens,Kevin Burgi,StSC,6,10,7,12,OCS,12,8,,10
GER,8666,Michael Kurzeja,Lukas Tanner,BYC,9,12,12,9,9,9,14,,11
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,10,13,10,16,12,10,15,,12
FRA,8895,Paul Bendiyan,Georges Bendiyan,ASCL,14,11,14,14,10,11,10,,13
GER,8473,Christoph Bökle,Michael Marker,SSCM,15,14,13,8,11,13,DNC,,14
GER,8670,Theo Kohl,Juliane Kohl,WWSC 70,16,16,16,15,13,15,11,,15
GER,6610,Andreas Kleis,Uwe Krumm,SSCM,17,17,18,13,14,16,12,,16
FRA,9081,Robert Lehmann,Bernard Edel,ACAL,8,15,15,DNC,DNC,DNC,DNC,,17
GER,8691,Harald König,Michael Müller,SHVL,18,18,17,DNC,DNC,DNC,DNC,,18
