Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Pierre-Jean Gallo,CVSQ/SRH,3,1,,,,,,4,1
FRA,9067,Bertrand Loyal,Laurent Nevo,C N MESCHERS/LA ROCHELLE NAUTIQUE,2,2,,,,,,4,2
FRA,8870,Christian Silvestre,Nicolas Auberger,SRA/YC GRENOBLE CHARA.,1,8,,,,,,9,3
FRA,8900,Serge Gubri,Thibault Di Pède,CV SEINE PORT/CV SEINE PORT,7,3,,,,,,10,4
FRA,9068,François de Lisle,Hervé Brillaud,CN FERRET/CN FERRET,5,5,,,,,,10,5
FRA,9024,Claude Gachet,Jacques Kleiber,YC GRENOBLE CHARA./Voile et Découverte,6,7,,,,,,13,6
FRA,8950,Eric Quémard,Antoine Victor,CV PARIS/YC CANNES,10,4,,,,,,14,7
FRA,8515,Nicolas Croce,Florian Faucheux,CNCP/CNCP,4,14,,,,,,18,8
FRA,9084,Jacques Dechauffour,Sabine Dechauffour,SNO NANTES/SNO NANTES,8,10,,,,,,18,9
FRA,,Bastian le Morvan,Pierre Bessias,ASPTT TROYES/CN DE LORIENT,9,9,,,,,,18,10
FRA,8971,Thierry Daguzan,Arnaud Poirier,LA ROCHELLE NAUTIQUE/EV ROCHELAISE,13,6,,,,,,19,11
FRA,9086,Elisabeth Neidhart,Bertrand Lapeyre,CVML/SNPH,14,11,,,,,,25,12
FRA,8564,Sylvain Ratouis,Antoine Ratouis,B N DE SCIEZ/B N DE SCIEZ,12,15,,,,,,27,13
FRA,,GG,666,,16,13,,,,,,29,15
FRA,,DD,Jean-Marie Boiry,/CVML,19,12,,,,,,31,17
BEL,9064,Philippe Vandersteen,Bernard Gros,,17,16,,,,,,33,18
BEL,,Valentin Dechauffour,Jean-Claude Ancelot,SNO NANTES/SNO NANTES,18,18,,,,,,36,19
FRA,9050,Hervé de Kergariou,Basile Géron,CN ARRADON/SNPH,20,19,,,,,,39,20
FRA,8869,Etienne Boyer,Emmanuel Boyer,CVBCM/CVBCM,DNC,DNC,,,,,,44,DNA
