,Boot,Steuermann,Vorschoter,Club,Platzierungen,Sum,Platz
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,1,1,1
GER,8849,Moritz Bohnenberger,Carolin Tiegel,DTYC,2,2,2
GER,8862,Robert Wisolek,Clemens Pirker,SCLW,3,3,3
GER,8672,Karsten Contag,Guido von Walter,SCLW,4,4,4
GER,8725,Sophie Söllner,Max Eisenrieder,CYC,5,5,5
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,6,6,6
GER,8658,Christina Höll,Alexander Wilhelm,HSC,7,7,7
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,8,8,8
GER,8562,Thomas Holik,Fabian Martyson,SGR,9,9,9
GER,8702,Martin Handel,Volker Böhringer,SGK,10,10,10
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,11,11,11
GER,8580,Andreas Achterberg,Julia Achterberg,BYC,12,12,12
GER,9021,Georg Geyer,Peter Wolffram,,13,13,13
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,14,14,14
GER,8598,Anna Höll,Bernd Heinisch,,15,15,15
GER,7921,Jochen Heydolph,Nette Jansen,SCLW,16,16,16
GER,8861,Wolfgang Seifert,Peter Daferner,SCLW,17,17,17
GER,8697,Wilfried Stuis,Benjamin Lasnier,YCN,18,18,18
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,19,19,19
