,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Sum,Platz
GER,6535,Jens Olbrysch,Anekathrin Ehmann,HSC,2,1,3,6,1
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,5,5,2,12,2
GER,8482,Jürgen Geiger,Tobias Ahlert,,4,3,5,12,3
GER,9023,Sophie Söllner,Max Eisenrieder,CYC,1,OCS 11,1,13,4
GER,8565,Thomas Holik,Sylvia Bley,SGR,7,2,4,13,5
GER,8861,Wolfgang Seifert,Sascha Schröter,SCLW,3,4,6,13,6
GER,8777,Thoralf Greger,Anne Nismuschel,ASVG,6,8,7,21,7
GER,8672,Nette Jansen,Jonas Funke,,8,7,8,23,8
GER,8590,Jürgen Ziegler,Matthias Pfister,SCLW,9,6,9,24,9
GER,7275,Dirk Hütten,Jürgen Wiesmeier,,DNC 11,DNF 11,DNF 11,33,10
