Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,Pts,Pos
GBR,9006,Ian Pinnell,Christain Diebtisch,,2,1,1,1,1,4,1
GBR,8906,Harry Briddon,Adam Kenny,,1,2,5,3,2,8,2
IRL,7771,Brian Jones,Gary Frost,,6,3,2,2,3,10,3
GBR,9039,Tim Bird,Richard Nurse,,4,4,3,4,5,15,4
IRL,8408,Ewen Barry,Martin Almond,,3,6,4,6,6,19,5
GBR,8955,Ben Illfe,Simon Lake,,7,7,6,5,4,22,6
GBR,8780,Martin Wright,Jeff Powell,,5,5,8,9,9,27,7
GBR,8907,Jim Berry,David Barnes,,10,8,7,7,7,29,8
IRL,8552,Michael O'Brien,Colin Barry,,8,9,10,8,8,33,9
IRL,8679,Sandy Rimmington,William O'Brien,,9,10,13,11,14,43,10
IRL,888,James O'Brien,James O'Brien (2),,12,11,9,12,12,44,11
IRL,8380,Charles McCarthy,Andrew Welland,,14,14,14,10,12,50,12
IRL,848,Mike O'Brien,Josh Barrett,,11,12,13,14,14,50,13
