Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat Name,Points Total,Points Netto,Place
USA,9080,Howard Hamlin,Andrew Zinn,NHYC,1,1,1,1,[2],1,1,2,,10,8,1
USA,9002,Mike Holt,Jeffrey Nelson,SCYC,5,3,[9],3,1,2,4,1,,28,19,2
USA,9091,Edward Conrads,Brian Haines,StFYC/SDYC,3,2,2,2,3,[6],3,4,,25,19,3
USA,808*,Holt Condon,Reeve Dunne,,6,6,3,4,6,5,[8],6,,44,36,4
USA,9009,Bruce Edwards,,SCYC,7,4,6,8,[12],3,7,3,,50,38,5
USA,8878,AJ Conrads,Pat Diola,StFYC/SCYC,4,5,5,6,8,4,6,[10],,48,38,6
USA,8084,Rob Waterman,Aaron Ross,ABYC,[10],8,7,7,5,8,5,5,,55,45,7
USA,8762,Chris Rabb,Don Smith,NHYC/ABYC,2,7,[15 OCS],5,11,12,9,7,,68,53,8
USA,8829,Eben Russell,Even Diola,SCYC,8,9,4,9,4,10,10,[15 DNC],,69,54,9
USA,6931,Stine Cacavas,Bill McKinney,WSASMB,9,10,8,10,10,9,[11],9,,76,65,10
CAN,8970,Robert Tennant,,,[15 DNC],15 DNC,15 DNC,15 DNC,7,7,2,8,,84,69,11
USA,7069,Christopher O'Leary,James Dewolf,,12,13,12,11,9,11,[15 DNC],15 DNC,,98,83,12
USA,6984,Antoine Laussu,Jake West,PSSA,[13],12,10,12,13,13,12,11,,96,83,13
USA,8438,Amie Huebner,Ted Huebner,MBYC,11,11,11,[15 DNF],15 DNF,15 DNC,15 DNC,15 DNC,,108,93,14
