Nation,Sail NO,Skipper,Crew,Club,1,2,3,4,5,Total Points,Pos
USA,8808,Augie Diaz,Fritz Lanzinger,CRYC,1,1,2,1,[3],5,1
USA,8830,Mark Zagol,Andrew Buttner,,[4],2,1,2,2,7,2
USA,8722,Jesse Falsone,Macy Nelson,SSA,2,6,4,[8],7,19,3
USA,9007,Tyler Moore,Geoff Ewenson,HYC,9,[11],3,3,4,19,4
USA,7346,Craig Thompson,Mike Curtin,,[11],7,7,5,1,20,5
USA,8851,Tom Sitzmann,Geoff Becker,SSA,3,5,[9],9,5,22,6
USA,7200,Ali Meller,Peter Scannell/Mike Coe,SSA,6,8,6,4,[9],24,7
USA,8012,Whit Duncan,Russell Miller,Sail Newport,10,[12],5,6,8,29,8
USA,8822,David Burchfiel,Andy Forman,,7,4,10,[12],11,32,9
USA,8952,Charles Smith,Jay Smith,CYCNC,8,10,[13],10,6,34,10
USA,8850,Douglas Watson,Gabriel Watson,WRSC,[12],9,8,7,10,34,11
USA,814*,Stergios Papadakis,, SSA,5,3,[15 DNC],15 DNC,15 DNC,38,12
USA,8535,Seamon,Artman,SSA,13,[15 TLE],12,11,12,48,13
USA,8766,Bryan Richardson,Matt Schoene,SSA,[14],13,11,13,13,50,14
