Boot,Steuermann,Vorschoter,Club,Race,1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Points,Platz
FRA,9075,Philippe Boite,Erwan Grossmann,CVM,1,1,1,[OCS 32],1,3,38,7,1
FRA,9099,Xavier Broise,Nicolas des Jamonières,,2,[3],2,1,2,1,11,8,2
GBR,9057,Chris Lewns,Dan Parsons,,[3],2,3,3,3,2,16,13,3
GER,8975,Alexander Holzapfel,Alain Karadjian,PSVK,4,5,5,2,4,[17],37,20,4
FRA,8870,Christian Silvestre,Aline Martin,CVB,5,7,4,5,10,[11],42,31,5
FRA,8820,Thibault Di Pede,Fabrice Toupet,,7,4,[DNC 32],7,5,8,62,31,6
FRA,9019,Veronique Brenet,Jean-Pierre Peter,ACAL,6,6,12,[14],9,4,51,37,7
BEL,9066,Geert de Pauw,Koen Jourquin,,8,8,[11],9,6,6,48,37,8
GBR,8694,Andy Williams,Andy Edmonds,Port.,9,9,10,6,[20],14,68,48,9
FRA,8802,Pascal Viaud,Alban Viaud,,15,13,6,[16],7,13,70,54,10
FRA,8969,Thomas Pype,Romain Delmotte,,12,11,13,8,12,[19],75,56,11
FRA,8484,Philippe Blanchard,Bernard Edel,ACAL,14,10,14,12,[DSQ 32],7,88,57,12
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,,[21],16,9,4,13,15,85,57,13
FRA,0,Bastian Le Morvab,Gilles Carvallo,,11,[19],8,11,13,15,78,58,14
BEL,7979,Luc Crets,Cedric Crets,,10,[18],18,15,15,10,86,68,15
BEL,9064,Didier Trine,Philippe Vandersteen,KYC,[18],12,17,10,14,16,87,69,16
FRA,8623,Gerard Daugey,Dominique Rouanne,SVST,[19],18,7,19,8,24,95,76,17
BEL,7940,Paul Joskin,Gilbert Joskin,,[22],14,15,17,18,9,95,73,18
FRA,8278,Roger Chabaud,Thomas Pype,,13,22,19,13,[26],25,118,92,19
FRA,8429,Jean Charles Zimmowitch,Romaric Zimmowitch,,24,21,[DNC 32],[DNC 32],11,12,130,100,20
BEL,8688,Jacques Genon,Lionnel Lambert,RCNV,16,15,20,[OCS 32],17,DSQ 32,130,100,21
BEL,8352,Benoît Raucent,Phillippe Chevelier,,20,20,22,18,25,[26],131,105,22
BEL,8543,Alain Mineur,Fabienne Boucau,,17,23,[24],23,22,22,131,107,23
FRA,7710,Jean-Pierre Derungs,Jean-Paul Lozouet,PARIS,[28],25,23,22,21,20,139,111,24
BEL,8552,Claude Collette,Xavier Dobbelstein,,26,24,21,20,23,[DSQ 32],145,114,25
BEL,7940,Noelle Henrotay,Denis Gilles,RCNV,23,26,25,[DNC 32],24,21,150,119,26
BEL,8699,Bruno Vaniekaut,Philippe Vanden Hout,,25,[27],27,21,27,23,150,123,27
BEL,8742,Frederic Decoq,Gilles Bernon,,[DNC 32],DNC 32,DNC 32,DNC 32,16,18,158,130,28
BEL,8897,Didier Kariger,Frederic Jacmart,RCNV,27,28,26,25,[DNF 32],28,165,134,29
FRA,7190,Cyrille Girondo,Christele Girondo,CYVIA,29,29,28,24,[DNF 32],27,168,137,30
BEL,8215,Vincent Neve,Alain Mineur,SNEH,30,[DNF 32],DNC 32,26,DNC 32,29,178,149,31
