County,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Points,Platz
GER,9000,Enno Wilts,Martin Bernauer,SVBB,1,1,1,[3],6,3,1
GER,8750,Konrad Otto,Kay Raum,SGS,[3],2,2,1,8,5,2
GER,8999,Karsten Stümpel,Katharina Menge,HSC,[5],3,3,2,13,8,3
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,2,4,4,[5],15,10,4
GER,8458,Raik Wollenbecker,Uwe Morgenstern,,[6],5,5,4,20,14,5
GER,7496,Cordula Merle,Lucas Merle,,7,7,6,[DNC 11],31,20,6
GER,7854,Helfried Haupt,Dominik Haupt,,8,[DNF 11],7,6,32,21,7
GER,8550,Martha Hauschild,Franzi Manko,SCS,4,6,[DNF 11],DNC 11,32,21,8
GER,7764,Christopher Müller,Peter Hundert,,9,8,8,[DNF 11],36,25,9
GER,8632,Andreas Schorsch,Steffen Eisenbach,,10,[DNF 11],9,7,37,26,10
