Country,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Boat Name,Total,Place
AUS,8794,Michael Babbage,James McAllister,,1,4,1,5,3,[6],2,5,1,2,[9],ALVIN RIDES AGAIN,24,1
AUS,9036,Michael Quirk,Shane Guanaria,,4,2,2,1,[6],3,1,1,[26 DNC],5,6,STRIFE,25,2
AUS,8957,Kevin Cameron,Sam Heritage,,2,[7],5,2,5,2,3,2,2,[10],5,ALARM INNOVATIONS,28,3
AUS,8893,Ryan Menzies,Nathan Quirk,,3,1,4,4,[8],[5],5,3,3,3,4,YEAH BUDDY,30,4
AUS,8626,Haylee Outteridge,Nathan Outteridge,,[7],3,7,6,1,1,[8],4,7,1,1,SWING STEER & SWEAR,31,5
AUS,8920,Jeffrey Robinson,Joel Castle,,[8],5,3,[7],4,4,7,6,5,6,7,ASAP,47,6
AUS,8796,Dean Souter,,,6,8,[11],9,9,7,4,[26 DNC],8,8,3,THE RIBWICH,62,7
AUS,8341,Graham Prosser,Kane Sinclair,,5,13,8,3,7,10,6,[26 DNC],[26 DNC],15,2,THE BLUES,69,8
AUS,8877,Amy Lee,Justin Mulkearns,,[14],11,[16],10,2,8,11,13,12,4,10,GENERAL LEE,81,9
AUS,8781,Earle Alexander,,,[12],10,9,12,12,[15],12,9,6,11,8,ALEXANDER & ASSOC,89,10
AUS,9022,Ian Burford,,,13,9,10,11,[14],9,13,10,[15],7,11,HIT THE JACKPOT,93,11
AUS,8738,Wade Croak,,,10,12,[18],[18],11,11,14,8,4,12,13,FLUID BUILDING,95,12
AUS,8637,Sam Cronin,,,[18],17,17,13,10,[19],10,11,9,13,12,BLOWFLIES,112,13
AUS,8886,John Paterson,,,11,[26 DNC],13,17,17,[20],15,16,11,14,14,BACK IN BLACK,128,14
AUS,8922,Brett Bowden,,,[17],16,15,[22],15,12,16,14,10,17,15,TWENTY - ONE,130,15
AUS,8557,Neil Long,,,[26 DNC],[26 DNC],12,15,13,13,9,7,26 DNC,26 DNC,26 DNC,WHATEVER,147,16
AUS,8639,David Johnson,,,16,14,14,[19],[23],16,19,19,14,18,17,S&M;,147,17
AUS,8628,Peter Croft,,,[20],15,[21],20,16,14,20,15,13,19,18,GRUMPY OLD MEN,150,18
AUS,8810,Cullen Hughes,,,9,6,6,8,18,[26 DNS],[26 DNC],26 DNC,26 DNC,26 DNC,26 DNC,GO,151,19
AUS,8682,Richard Hyde,,,19,19,[22],14,20,21,18,18,[26 DNC],9,19,GO TO RED,157,20
AUS,8739,John McLean,,,[26 DNC],18,19,16,19,17,23,17,16,20,[26 DNC],SHOW ME THE MONEY,165,21
AUS,8710,Michael Gallagher,,,15,20,23,21,22,22,17,12,[26 DNC],[26 DNC],26 DNC,MANALIVE,178,22
AUS,8524,Steve Howden,,,[26 DNC],[26 DNC],20,24,21,18,21,26 DNC,26 DNC,16,16,5OH MAGIC,188,23
AUS,7285,Michael Whitmore,John Hillcoat,,21,21,[24],23,[24],23,22,20,17,21,20,WIFE SAYS SELL,188,24
AUS,8349,Sarah Macarthur-King,John Macarthur-King,,22,22,25,25,25,[26 DNF],24,21,[26 DNC],22,21,A CUNNING PLAN,207,25
