Nation,Sail Num,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat,Total Points,Net Points,Place
AUS,8946,Sandy Higgins,Paul Marsh,B&SYC,1,1,1,1,2,1,1,(14/DNC),Hawaii Five O,22,8,1
AUS,9074,Earle Alexander,Finn Boeger,DPSS,2,(14/DNC),3,3,3,2,2,2,Earle Grey,31,17,2
AUS,8781,Paul Ridgway,Hugh Ridgway,SYC,3,(14/DNC),5,5,4,7,3,1,Alexander and Associates,42,28,3
AUS,9036,Michael Quirk,Daryl Roos,RPEYC,(14/DNC),14/DNC,2,2,1,3,14/DNC,14/DNC,Another White Boat,64,50,4
AUS,8221,James Ryssenbeek,Andrew Mccole,RBYC,(14/DNC),2,9,8,8,14/DNF,14/DNC,3,Dingbat,72,58,5
AUS,8637,Sam Cronin,Kevin Whitbread,PKSC,(14/DNC),14/DNC,7,6,7,6,4,14/DNC,Blowflies,72,58,6
AUS,8739,Steve Howden,Bryce Reid,PMYC,(14/DNC),14/DNC,6,7,6,5,6,14/DNC,Dance Don't Walk,72,58,7
AUS,8796,Dean Souter,Brad Clarke,PKSC,(14/DNC),14/DNC,4,4,5,4,14/DNC,14/DNC,The Ribwich,73,59,8
AUS,8738,Sarah Macarthur-King,John Macarthur-King,CYC,(14/DNC),14/DNC,14/DNF,9,14/DNC,14/DNF,5,4,A Salt Weapon,88,74,9
AUS,8803,Michael Whitmore,John Hillcoat,DSC,(14/DNC),14/DNC,8,14/RET,14/DNC,14/DNF,14/DNC,14/DNC,Mistress Says Faster,106,92,10
AUS,7904,Brian Fentiman,Michael Lawrence,WSC,(14/DNC),14/DNC,14/DNF,14/DNF,14/DNC,14/DNF,14/DNF,14/DNC,The Beast,112,98,11
AUS,8524,Sylvain Le Nay,Steve Perlen,PMYC,(14/DNC),14/DNC,14/DNC,14/DNC,14/DNC,14/DNF,14/DNC,14/DNC,50H Magic,112,98,11
AUS,8922,Brett Bowden,Malcolm Ware,RBYC,(14/DNC),14/DNC,14/DNC,14/DNC,14/DNC,14/DNF,14/DNC,14/DNC,Twenty-One,112,98,11
