Nation,Ident,Concurrents,Ret P,,Race 1,Race 2,Race 3,,,brutto,netto,Rgs
FRA,8429,Killian Zimmowitch,Romaric Zimmowitch,,1*,1,1,N RENNES C,S N TRINITE S/MER,3,2,1
FRA,9075,Alexandre Boite,Florian Corbel,,4*,3,2,R HAVRE S,C V L ABER WRAC,9,5,2
FRA,9068,Thibault Vincent,Guillaume Faugier,,3*,2,3,MAUR VOILE V G A ST,C V ST QUENTIN,8,5,3
FRA,8847,Bastian le Morvan,Adrien Lafortune,,2,7*,5,ASPTT TROYES,C V SEINE-PORT,14,7,4
FRA,8542,Morgane Suquart,Ciret-Lecosquer Madeg,,7,9*,4,SUD GOELO POLE NAUTI,POLE NAUTI SUD GOELO,20,11,5
FRA,8800,Francois Lafortune,Antoine Delagrange,,9*,4,7,SEINE-PORT C V,C V SEINE-PORT,20,11,6
FRA,8870,July-Wormit Mareva,Tamara Ritvo,,5,11*,8,MAUR VOILE V G A ST,V G A ST MAUR VOILE,24,13,7
FRA,8748,Aurelien Pierroz,Baptiste Galaup,,8*,8,6,R HAVRE S,S N P H,22,14,8
FRA,9086,Jules Ducelier,Louis Claude,,6,10*,9,MAUR VOILE V G A ST,S N ENGHIEN,25,15,9
FRA,8705,Thomas Soinard,Amaury Louin,,16*,6,12,C.V.M.L,C.V.M.L,34,18,10
FRA,8716,Marine Delagrange,Aristide Gasquet,,18*,5,14,SEINE-PORT C V,C V SEINE-PORT,37,19,11
FRA,8729,Benoit Morane,Hugues Morane,,10,20 OCS*,10,ST QUENTIN C V,YC PORT MANECH,40,20,12
BEL,9064,Kevin Michel,Justin Blondeaux,,11,12*,11,SNEH,-,34,22,13
FRA,6593,Augustin Doumic,Romain Thivillier,,17*,13,13,E D C C,AEPA SECTION VOILE,43,26,14
FRA,8770,Valentin Guerin,Theo Dutrieux,,13,15*,15,V VALENCIENNES C,C V VALENCIENNES,43,28,15
FRA,8326,Sebastien le Bouteiller,Julien Lovadina,,14,14,17*,ST QUENTIN C V,C V ST QUENTIN,45,28,16
FRA,8431,Marion Michel,Anais Dechauffour,,12,20 OCS*,18,N NANTES C V A,S N O NANTES,50,30,17
FRA,8509,Vincent le Morvan,Alexandre Morteau,,15,16*,16,ASPTT TROYES,C N HAUTE SEINE,47,31,18
FRA,9010,Bastien Couvreux,Paul Alric,,DNC*,DNC,RET,SECTION VOILE AEPA,S N DE ST TROPEZ,60,40,19
