,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9030,Andreas Jungclaus,Thomas Tschentscher,HSC,1,4,1,2,,,1
GER,8519,Thure Gnadberg,Aron Tellen,BSV,13,1,3,1,,,2
GER,8903,Steve Kwee,Thorsten Spötter,HSC,3,2,7,6,,,3
GER,9102,Walter Steding,Hans-Werner Steding,HSC,2,5,4,12,,,4
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,6,DNF 30,5,7,,,5
GER,8686,Hans-Jürgen Rentelmann,Markus Hintz,BSC,15,3,6,4,,,6
GER,8972,Timon Treichel,Morten Roos,DYC,6,DNF 30,5,7,,,7
GER,8999,Lennart Tasche,Karsten Stümpel,WSVG09,4,8,12,11,,,8
GER,9035,Ronald Roos,Kirsten Roos,SVWu,11,7,16,8,,,9
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,8,12,10,9,,,10
GER,8958,Nicholas Melzwig,Axel Priegann,LRV,BFD,10,15,3,,,11
GER,8619,Matthias Dachs,Jörn Alberts,HSC,7,18,DNC 30,5,,,12
GER,8741,Jürgen Anton,Ulf Denecke,HSC,BFD,11,8,13,,,13
GER,9077,Kurt Reincke,Carsten Hehl,HSC,14,13,9,14,,,14
GER,8712,Peter Gerdts,Christian Labenz,HSC,9,9,22,DNF 30,,,15
GER,8964,Iris Anton,Bruno Laudage,HSC,12,BFD 30,13,15,,,16
GER,9057,Jan Schlesiger,Arne Wittemer,MSC,10,15,23,16,,,17
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,16,17,11,18,,,18
GER,8730,Marco Misbach,Andreas Dillmann,KYC,20,16,14,27,,,19
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,BFD,14,18,22,,,20
GER,8932,Christian Henge,Katja Henge,OSG,17,20,21,17,,,21
GER,8433,Patrick Ziegelmueller,Katharina Menge,HSC,19,19,20,19,,,22
GER,8522,Henning Oberbeck,Simon Blessing,HSC,22,22,17,20,,,23
GER,8428,Christian Lempp,Max Rauner,HSC,18,21,24,DNF 30,,,24
GER,7443,Henry Köthe,Florian Brix,HSC,21,23,19,23,,,25
GER,8630,Lars Lankenau,Anna Schipler,SFHS,25,24,25,21,,,26
GER,8634,Alena-Larissa Wilkens,Ailyn Hofmann,HSC,23,26,28,25,,,27
GER,8570,Leif Koch,Nick Brandt,NRV,24,25,27,26,,,28
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,26,27,26,24,,,29
