,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9011,Michael Daisenberger,Tobi Bolduan,DTYC,1,1,1,1,1,,1
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,2,6,4,3,2,,2
GER,9122,Jan Borbet,Kilian Northoff,DUYC,DNC,2,3,2,4,,3
GER,8672,Karsten Contag,Thoralf Greger,SCLW,6,3,2,4,5,,4
GER,8999,Sophie Söllner,Karsten Stümpel,CYC,3,7,5,5,6,,5
GER,9114,Mats Westholm,Thorsten Koch,SCLW,4,4,6,9,7,,6
GER,9023,Max Eisenrieder,Dirk Penno,YCaT,8,5,8,8,3,,7
GER,8598,Anna Höll,Bernd Heinisch,,5,8,7,7,8,,8
GER,8530,Alexander von Mertens,Christian Dörr,StSC,7,9,9,6,9,,9
GER,7921,Jochen Heydolph,Oliver Fischer,SCLW,9,10,10,10,10,,10
