Nation,Sail,Skipper,Skipper,Yacht Club,1,2,3,4,5,6,7,8,Boat,Total,Pos
USA,8083,Matthew Barry,James Barry,Riverside Yacht Club,[10],4,2,3,3,1,1,2,The Bassmaster,16,1
USA,8854,Craig Thompson,Michael Curtin,Kittery Point Yacht Club,2,[6],4,4,2,4,3,3,None,22,2
USA,8830,Andrew Buttner,Andrew Buttner,NA,1,1,1,1,1,[12/DNC],12/DNC,12/DNC,Kokatat,29T,3
USA,7773,Duane Delfosse,Sol Marini,Lake Sunapee Yacht Club,3,3,[7],6,4,6,2,5,Sol's Boat,29T,4
USA,8194,Thomas Kivney,Gordon Russell,Hingham Yacht Club,4,2,5,2,5,[9],8,9,Katiebear,35,5
USA,8766,Ian Conners,Russell Miller,Severn Sailing Association,6,7,[12/DNS],5,6,3,7,8,,42,6
USA,8821,Michael Komar,Michael Komar,Newport,[8],8,8,7,8,2,5,7,8821,45,7
USA,9116,Katherine Long,Stephen Long,Chicago Corinthian YC,7,[12/DNS],6,8,10,5,9,1,Bubbles of happiness,46,8
USA,6985,Michael Breton,,Sail Newport,5,5,3,9,7,[12/DNF],12/DNC,12/DNC,No Surrender,53T,9
USA,8012,Whit Duncan,,Sail Newport,9,9,[12/DNS],10,9,8,4,4,,53T,10
USA,8641,Nicholas Burke,Will Hundahl,Eastern Yacht Club,[12/DNC],12/DNC,12/DNC,12/DNC,12/DNC,7,6,6,PTL,67,11
