Nation,SailNo,HelmName,CrewName,Boat,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Rank
AUS,8973,Peter Nicholas,Anthony Gaunt,Angry Dragon,1,1,1,1,-2,1,7,5,1
AUS,8817,Nick Davis,Michael Duffield,Tenzing Norgay,-2,2,2,2,1,2,11,9,2
AUS,8811,Matthew Hansen,Chris White,Crimson Autograph,3,4,3,4,3,-5,22,17,3
AUS,8968,Tristan Brown,Ki-Raphael Sulkowski,Devil's Haircut,-5,5,4,3,4,4,25,20,4
AUS,8855,Mark Stowell,Patrick Atwell / Craig Mann,Occy,-7,6,6,5,5,3,32,25,5
AUS,9049,Murray Smith,Belinda Stowell/Wayne Roberts,Manta,6,7,-8.5,6,6,6,39.5,31,6
AUS,1,Chris Charlwood,Will Boulden / Monique de Vries,White Knights,(13 DNS),3,5,13 DNS,7,7,48,35,7
AUS,855,Andrew Cawley,Josh Mewburn,Shore Thing,8,-9,7,7,8,8,47,38,8
AUS,9017,Roger Pell,Ian Asphar,String Theory,(13 DNF),8,8.5,8,9,9,55.5,42.5,9
AUS,8176,Monique de Vries,Patrick Vos,Swing Shift,4,(13 DNC),13 DNC,13 DNC,13 DNC,13 DNC,69,56,10
AUS,8667,Luke Abbott,Grant Abbott,Swing Shift,(13 DNC),13 DNC,13 DNC,13 DNF,13 DNS,13 DNS,78,65,11
AUS,8801,Nick Duesson,,The Fish,(13 DNC),13 DNC,13 DNC,13 DNC,13 DNC,13 DNC,78,65,11
