,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,,Platz
GER,8669,Jan-Philipp Hofmann,Felix Brockerhoff,DY,1,1,2,3,3,2,1,4,DNC,,,1
GER,9146,Jens Findel,Johannes Tellen,KYC,6,8,1,1,1,4,3,1,DNC,,,2
GER,8929,Kai Bertallot,Jan Reifferscheidt,FSC,4,3,6,4,4,5,6,6,DNC,,,3
GER,9149,Paul Meyer,Rolf Meyer,SCED,3,11,16,7,11,8,4,3,3,,,4
GER,9135,Stefan Böhm,Gerald Roos,SCV,19,26,8,6,7,3,5,8,1,,,5
GER,8519,Thure Gnadberg,Aron Tellen,BSV,5,6,5,14,8,6,9,17,14,,,6
GER,9112,Morten Bogacki,Lars Dehne,DYC,8,16,4,10,6,11,10,BFD,6,,,7
GER,8806,Lutz Stengel,Frank Feller,ROYC,13,14,11,5,10,13,20,2,4,,,8
GER,9152,Meike Schomäker,Holger Jess,ZSK,12,2,3,RET,2,1,2,BFD,2,,,9
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,16,13,9,8,12,17,8,5,5,,,10
GER,8972,Timon Treichel,Morten Roos,DYC,14,10,7,12,9,7,16,7,DNC,,,11
GER,8975,Alexander Holzapfel,Michael Freitag,PSVK,22,4,12,11,18,9,12,11,7,,,12
GER,9121,Volker Niedik,Oliver Thies,BSV,10,17,10,2,20,26,7,10,11,,,13
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,7,12,DNC,19,5,10,11,23,8,,,14
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,17,5,15,9,19,14,14,9,DNC,,,15
GER,8903,Steve Kwee,Thorsten Spötter,HSC,27,7,22,17,15,20,13,18,10,,,16
GER,9035,Ronald Roos,Kirsten Roos,SVWu,18,22,18,18,17,15,17,22,DNC,,,17
GER,8775,Jan Sell,Leon Oehme,TUSF,23,28,20,15,21,27,22,14,15,,,18
GER,9139,Moritz Bohnenberger,Dirk Penno,DTYC,32,21,19,13,DNC,22,18,16,18,,,19
GER,9144,Jürgen Anton,Ulf Denecke,HSC,15,23,21,22,24,29,21,12,20,,,20
GER,9066,Peter Gerdts,Christian Labenz,HSC,31,31,13,23,13,19,25,19,17,,,21
GER,8480,Marc Köster,Thorben Köster,BSV-AT,25,15,24,16,25,25,24,DNC,13,,,22
GER,9054,Anika Wollenbecker,C. Wollenbecker,YCBG,28,24,29,20,22,24,26,20,9,,,23
GER,9057,Frieder Billerbeck,Julius Raithel,SVWS,20,37,32,26,16,23,15,25,19,,,24
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC,11,30,25,21,27,16,31,DNC,16,,,25
POL,9132,Jarosław Grabowski,Michał Olko,YKSG,21,36,17,32,14,12,27,21,DNC,,,26
GER,8849,Henrik Schade,Lars Schmietenknop,WVW,39,25,23,34,23,18,19,15,24,,,27
GER,9043,Stefan Heising,Angela Stenger,,26,35,27,25,28,21,30,24,12,,,28
GER,9028,Catrin Janssen,Jana Hiller,ZSK,37,20,36,DNC,30,DNC,21,13,26,,,29
GER,8531,Anna Hauschild,Katharina Menge,SCS,36,34,28,30,29,28,28,DNC,27,,,30
GER,9113,Sophie Söllner,Karsten Stümpel,CYC,2,9,14,DNC,DNC,DNC,DNC,DNC,DNC,,,31
GER,8376,Peter Wichtrap,Mario Tirre,,40,38,35,DNC,DNC,31,32,26,25,,,32
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,42,33,33,29,DNC,32,DNC,DNC,22,,,33
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,29,29,26,31,26,DNC,DNC,DNC,DNC,,,34
GER,8964,Iris Anton,Bruno Laudage,HSC,35,32,30,27,DNC,DNC,DNC,DNC,21,,,35
GER,8619,Matthias Dachs,Sven Möller,HSC,33,27,34,24,DNC,DNC,29,BFD,DNC,,,36
GER,8901,Andre Tirre,Frank Wille,YCS,30,DNF,31,33,31,DNC,DNC,27,DNC,,,37
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,24,19,BFD,28,DNC,DNC,DNC,DNC,DNC,,,38
GER,9130,Andreas Jungclaus,Thomas Tschentscher,HSC,9,18,DNC,DNC,DNC,DNC,DNC,DNC,DNC,,,39
GER,9021,Jens Biederer,Lea Anton,HSC,34,39,38,DNC,DNC,DNC,DNC,DNC,23,,,40
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,38,40,37,DNC,DNC,DNC,DNC,DNC,DNC,,,41
GER,8259,Sven Henze,Konstatin Welp,,41,DNF,DNC,DNC,DNC,30,DNC,DNC,DNC,,,42
GER,8654,Jan Budden,Dirk Lübbers,,43,DNF,BFD,35,DNC,DNC,DNC,DNC,DNC,,,43
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,44,41,DNC,DNC,DNC,DNC,DNC,DNC,DNC,,,44
GER,8691,Harald König,Katja Frühwald,SHVL,45,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,,,45
