Nation,Boat,Helm ,Crew ,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Totall,Place
FRA,9075,Philippe Boite,Florian Corbez,Cvsq,[9],3,5,2,1,3,14,1
SUI,9096,Cédric Bart,Laurent Grob,CVN,2,[OCS],8,1,2,2,15,2
SUI,9147,Caroline Jacot,Philippe Jacot,CVN,3,4,4,[5],3,1,15,3
DEN,9128,Nikolaj Buhl,Hoffmann,HS,5,[12],1,4,5,5,20,4
DEN,9118,Jan Saugmann,Jakob Karbo,HS,4,1,2,[10],7,8,22,5
SUI,8614,Florian Stauffer,Valéry Jacot,CVN,[10],6,7,8,6,4,31,6
FRA,8716,Aline Martin,Yves Coltier,ycif,8,2,9,6,[13],10,35,7
LUX,8934,Pierre Kieffer,Elisabeth Speyer,YCL,6,8,6,[14],11,11,42,8
FRA,8847,Bastian Le Morvan,Marie Nowak,ASPTT,11,7,10,[13],10,7,45,9
SUI,9060,Catherine Houriet,Gil Donzé,YCG,19,5,3,12,[DNF],9,48,10
SUI,8613,Ueli Marti,Rene Bertschen,CNB,7,9,[OCS],3,4,OCS,49,11
FRA,9086,Elisabeth Neidhart,David De Montell,CMVL,14,13,[15],11,8,6,52,12
FRA,9103,Mathieu Glade,Olivier Magret,YCT,12,10,11,7,12,[13],52,13
SUI,8961,Toni Utiger,Sacha Wirth,CVE,1,17,[OCS],9,15,16,58,14
SUI,8545,Martin Marc,Jean-Marie Tinembart,CNB,16,14,13,[17],9,12,64,15
FRA,8954,Muriel Agrapart,Franck Agrapart,cnhs,15,11,14,[24],17,17,74,16
SUI,8636,Othmar Zoller,Daniela Zoller,snc,17,16,12,[18],14,15,74,17
SUI,8197,David Dürr,Michel Dürr,SCM,13,19,19,15,[DNF],18,84,18
GER,8712,Andreas Kleis,Uwe Krumm,SSCM,18,21,16,[25],18,19,92,19
GER,8843,Olivier Kraft,Frank Heimburger,sscm,20,18,17,23,16,[DNS],94,20
SUI,8528,Walter Ammann,Claudia Amman,SKS,21,15,21,19,[DNF],20,96,21
BEL,9064,Phil Vandersteen,Anne-Sophie Conotte,SNEH,22,22,18,22,[DNF],14,98,22
GER,8691,Harald König,Michael Müller,SRV-S,24,[DSQ],20,16,DNF,21,107,23
SUI,7926,Ruiter De Vogel,Thomas Werner,SKS,23,20,22,21,[DNF],22,108,24
SUI,6578,Dominik Schaller,Ronald Kunz,SKS,[DNF],23,23,20,DNF,DNF,118,25
FRA,9045,Nicolas Guillou,,,[DNC],DNC,DNC,DNC,DNC,DNC,145,26
GBR,9093,Tudor Owen,Tom Bruton,,[DNC],DNC,DNC,DNC,DNC,DNC,145,26
FRA,9033,Patrice Hue,,,[DNC],DNC,DNC,DNC,DNC,DNC,145,26
