Nation,Boat,Helm,Crew,,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Pts,Place
USA,8854,Craig Thompson,Mike Curtin,,2,1,1,6,1,3,2,14*,16,1
USA,8830,Augie Diaz,Drew Buttner,,3,2,2,3,6*,2,3,1,16,2
USA,9138,Tyler Moore,Rob Woelfel,,1,3,3,4,4,8,9*,2,25,3
USA,8715,Ethan Bixby,Erik Boothe,,4,5,4,2,5,13*,5,3,28,4
USA,9095,Macy Nelson,Zack Marks,,6,4,5,7,8,4,1,9*,35,5
USA,9041,Henry Amthor,Dustin Romey,,7,7,6,11*,7,1,10,10,48,6
USA,9005,Thomas Kivney,Gordon Russell,,5,6,8,9,11,7,13*,12,58,7
USA,,Ben Greenfield,Matt Gowell,,8,8,7,13,15*,11,14,4,65,8
USA,9003,Tom Sitzman,Jesse Falsone,,20*,20,20,1,3,6,12,5,67,9
USA,,Mike Komar,Ervin Grove,,20*,9,20,12,2,12,6,7,68,10
