,Ident,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Rgs
FRA,9067,Aurelien Pierroz,Baptiste Galaup,S R HAVRE S N P H,1,5*,2,2,4,1,15,10,1
FRA,9075,Bastian le Morvan,Alexandre Boite,ASPTT TROYES S R HAVRE,2,3,3,1,3,4*,16,12,2
FRA,9164,Valentin Dechauffour,Pierre Gendry,S N O NANTES S N O NANTES,6,16*,4,3,7,2,38,22,3
FRA,8748,Paul Cousin,Edouard Morin,CV ST AUBIN ELBEUF S R HAVRE,5,2,6,6,19 OCS*,5,43,24,4
FRA,8847,Margot Vennin,Paul Brandel,S N ENGHIEN S N P H,7,4,1,9,5,19 DNS*,45,26,5
FRA,8870,Gabin Micoulot,Emma Boisriveau,S N ENGHIEN ASCE VOILE ESPAR,4,1,8,5,8,10*,36,26,6
FRA,8800,Baptiste Lafortune,Antoine Delagrange,C V SEINE-PORT C V SEINE-PORT,3,7,11*,4,6,8,39,28,7
BEL,8521,Bas Van Assche,Toon Van Assche,BELGIQUE -,9,11,9,19 OCS*,1,3,52,33,8
FRA,9045,Anna le Goff,Alice Cousin,S R HAVRE CV ST AUBIN ELBEUF,11,10,5,11,2,19 OCS*,58,39,9
FRA,9031,Mathilde Lovadina,Marie Zugolaro,C V ST QUENTIN CV ST AUBIN ELBEUF,15*,9,7,14,9,9,63,48,10
FRA,9068,Antoine de Nijs,Marc Desjuzeur,C N VALERIQUAIS C N RANCE FREMUR,12,15*,13,8,10,7,65,50,11
FRA,9086,Louise Acker,Celine Chevet,S N P H S N P H,13,6,16,19 RET*,11,6,71,52,12
FRA,8716,Marine Delagrange,Clement Card,C V SEINE-PORT AEPA SECTION VOILE,8,8,12,12,12,13*,65,52,13
FRA,8954,Vincent le Morvan,Romain Thivilliers,ASPTT TROYES AEPA SECTION VOILE,10,13,10,10,19 OCS*,16,78,59,14
FRA,8729,Pierre Soret,Aristide Gasquet,CV ST AUBIN ELBEUF S N P H,17,12,19 DNS*,7,19 OCS,12,86,67,15
FRA,9010,Theo Mathias,Emilie Guilleminot,AEPA SECTION VOILE C N HAUTE SEINE,16,14,17*,13,13,15,88,71,16
BEL,8625,Gert Vervecken,Casper Martens,MARTENS -,14,17,15,16,19 DNS*,11,92,73,17
FRA,8326,Jean-Baptiste Hubert,Valere Leblic,CVF C N VALERIQUAIS,18,18,14,15,19 OCS*,14,98,79,18
