,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,8992,Lutz Stengel,Frank Feller,ROYC,1,0,1,2,1,,,1
GER,9090,Christian Kellner,Martin Schöler,HSC,2,4,2,1,4,,,2
GER,8519,Thure Gnadberg,Aron Tellen,BSV,3,3,0,3,3,,,3
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,7,1,3,4,2,,,4
GER,8903,Steve Kwee,Thorsten Spötter,HSC,4,9,6,5,5,,,5
GER,9130,Andreas Jungclaus,Thomas Tschentscher,HSC,0,5,7,10,6,,,6
GER,9066,Peter Gerdts,Christian Labenz,HSC,0,6,4,7,8,,,7
GER,9121,Jens Olbrysch,Oliver Thies,HSC,6,8,0,8,7,,,8
GER,9054,Anika Wollenbecker,Raik Wollenbecker,YCBG,0,10,10,6,13,,,9
DEN,9079,Jesper Bülow,Søren Asboe Jørgensen,,5,7,12,DNF 27,10,,,10
GER,9021,Jens Biederer,Thomas Wasilewski,HSC,10,11,0,11,11,,,11
GER,8750,Peter Kruse,Arne Wittemer,SCH,11,0,13,15,15,,,12
GER,8720,Frederik Tasche,Lennart Tasche,WSGV09,DNF 27,0,8,13,12,,,13
GER,8849,Henrik Schade,Fabien Vergil,WVW,0,14,16,14,9,,,14
GER,8458,Robert Bautz,Sascha Spors,ASVR,14,DNF 27,19,9,16,,,15
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,9,12,21,12,14,,,16
GER,9000,Thorsten Pösch,Moritz Lüther,SGSZ,19,13,11,16,0,,,17
GER,8901,Andre Tirre,Frank Wille,YCS,15,16,17,19,0,,,18
GER,9123,Enno Wilts,Oliver Schürmann,SVBB,18,0,18,17,18,,,19
GER,8697,Stephan Briehl,Stephan Briehl,,20,0,15,22,22,,,20
GER,8932,Christian Henge,Katharina Menge,OSG,17,17,23,18,21,,,21
GER,8989,Klaus Brinkbäumer,Max Rauner,HSC,22,18,22,20,17,,,22
GER,8505,Peter Wichtrap,Mario Tirre,,21,19,DNF 27,24,19,,,23
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,23,21,20,21,0,,,24
GER,8630,Lars Lankenau,Lea Anton,SFHS,24,DNF 27,24,23,24,,,25
GER,8691,Harald König,Katja Frühwald,SHVL,DNF 27,0,0,0,DNF 27,,,26
